Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000001	Kringle	interpro	domain		SM00130,PF00051,PS50070,cd00108	
IPR000007	Tubby, C-terminal	interpro	domain		PF01167,PR01573	
IPR000008	C2 domain	interpro	domain		PR00360,PF00168,SM00239,PS50004	
IPR000010	Cystatin domain	interpro	domain		SM00043,PF00031,PF16845,cd00042	GO:0004869
IPR000014	PAS domain	interpro	domain		SM00091,TIGR00229,PS50112,PF13188,PF13426,cd00130	
IPR000020	Anaphylatoxin/fibulin	interpro	domain		SM00104,PF01821,PS01177,PS01178,cd00017	GO:0005576
IPR000023	Phosphofructokinase domain	interpro	domain		PF00365	GO:0003872,GO:0006096
IPR000028	Chloroperoxidase	interpro	domain		PF01328,PS51405	GO:0004601
IPR000030	PPE family	interpro	domain		PF00823	
IPR000031	PurE domain	interpro	domain		TIGR01162,PF00731,SM01001	GO:0006189
IPR000032	Phosphocarrier protein HPr-like	interpro	domain		PR00107,TIGR01003,PF00381,PS51350,cd00367	
IPR000034	Laminin IV	interpro	domain		SM00281,PF00052,PS51115	
IPR000045	Prepilin type IV endopeptidase, peptidase domain	interpro	domain		PF01478	GO:0004190,GO:0016020
IPR000052	Potex/carlavirus coat protein	interpro	domain		PR00232,PF00286,PS00418	GO:0005198,GO:0019028
IPR000055	Restriction endonuclease, type I, HsdS	interpro	domain		PF01420	GO:0003677,GO:0006304
IPR000058	Zinc finger, AN1-type	interpro	domain		SM00154,PF01428,PS51039	GO:0008270
IPR000061	SWAP/Surp	interpro	domain		SM00648,PF01805,PS50128	GO:0003723,GO:0006396
IPR000064	Endopeptidase, NLPC/P60 domain	interpro	domain		PF00877	
IPR000066	Antenna complex, alpha/beta subunit	interpro	domain		PF00556	GO:0045156,GO:0019684,GO:0016021,GO:0030077
IPR000069	Envelope glycoprotein M, flavivirus	interpro	domain		PF01004	GO:0019058,GO:0019031
IPR000070	Pectinesterase, catalytic	interpro	domain		PF01095	GO:0030599,GO:0042545
IPR000071	Immunodeficiency lentiviral matrix, N-terminal	interpro	domain		PR00234,PF00540	GO:0005198
IPR000072	PDGF/VEGF domain	interpro	domain		PF00341,SM00141,PS50278,cd00135	GO:0008083,GO:0016020
IPR000073	Alpha/beta hydrolase fold-1	interpro	domain		PR00111,PF00561,PF12697	
IPR000081	Peptidase C3, picornavirus core protein 2A	interpro	domain		PF00947	GO:0008233,GO:0006508,GO:0016032
IPR000082	SEA domain	interpro	domain		PF01390,SM00200,PS50024	
IPR000083	Fibronectin, type I	interpro	domain		PF00039,SM00058,PS51091,PS01253,cd00061	GO:0005576
IPR000084	PE-PGRS family, N-terminal	interpro	domain		PF00934	
IPR000086	NUDIX hydrolase domain	interpro	domain		PF00293,PS51462	GO:0016787
IPR000089	Biotin/lipoyl attachment	interpro	domain		PF00364,PS50968	
IPR000095	CRIB domain	interpro	domain		SM00285,PF00786,PS50108	
IPR000118	Granulin	interpro	domain		PF00396,SM00277,PS00799	
IPR000121	PEP-utilising enzyme, C-terminal	interpro	domain		PF02896	GO:0016772,GO:0016310
IPR000156	Ran binding domain	interpro	domain		PF00638,SM00160,PS50196	GO:0046907
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	interpro	domain		SM00255,PF01582,PF13676,PS50104	GO:0005515,GO:0007165
IPR000159	Ras-associating (RA) domain	interpro	domain		SM00314,PF00788,PS50200	GO:0007165
IPR000160	GGDEF domain	interpro	domain		TIGR00254,SM00267,PF00990,PS50887,cd01949	
IPR000170	High potential iron-sulphur protein	interpro	domain		PF01355,PS51373	GO:0009055,GO:0019646
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	interpro	domain		PF00732,PS00623,PS00624	GO:0016614,GO:0050660,GO:0055114
IPR000177	Apple domain	interpro	domain		PR00005,SM00223,PS00495,cd01100	GO:0005515,GO:0006508,GO:0005576
IPR000182	GNAT domain	interpro	domain		PF00583,PF13508,PF13673,PF13302,PF13718,PS51186	GO:0008080
IPR000184	Bacterial surface antigen (D15)	interpro	domain		PF01103	GO:0019867
IPR000187	Corticotropin-releasing factor	interpro	domain		PF00473,SM00039	GO:0005179,GO:0005576
IPR000192	Aminotransferase class V domain	interpro	domain		PF00266	
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	interpro	domain		PF00006	GO:0005524
IPR000195	Rab-GTPase-TBC domain	interpro	domain		SM00164,PF00566,PS50086	
IPR000196	Ribosomal protein L19/L19e	interpro	domain		MF_01475,PF01280,SM01416	GO:0003735,GO:0006412,GO:0005840
IPR000197	Zinc finger, TAZ-type	interpro	domain		SM00551,PF02135,PS50134	
IPR000198	Rho GTPase-activating protein domain	interpro	domain		SM00324,PF00620,PS50238	GO:0007165
IPR000199	Peptidase C3A/C3B, picornaviral	interpro	domain		PF00548	GO:0004197,GO:0006508
IPR000201	Hepadnaviral P protein, N-terminal	interpro	domain		PF00242	GO:0003677,GO:0003887,GO:0006260
IPR000203	GPS motif	interpro	domain		PF01825,SM00303,PS50221	
IPR000208	RNA-directed RNA polymerase, flavivirus	interpro	domain		PF00972	GO:0003968,GO:0005524
IPR000209	Peptidase S8/S53 domain	interpro	domain		PF00082	GO:0008236,GO:0006508
IPR000210	BTB/POZ domain	interpro	domain		SM00225,PF00651,PS50097	GO:0005515
IPR000214	Zinc finger, DNA glycosylase/AP lyase-type	interpro	domain		PS51066	GO:0003906,GO:0008270,GO:0016799,GO:0006281
IPR000219	Dbl homology (DH) domain	interpro	domain		SM00325,PF00621,PS50010,cd00160	GO:0005085
IPR000232	Heat shock factor (HSF)-type, DNA-binding	interpro	domain		PR00056,PF00447,SM00415,PS00434	GO:0003700,GO:0043565,GO:0006355,GO:0042025
IPR000233	Cadherin, cytoplasmic domain	interpro	domain		PF01049	GO:0005509,GO:0007156
IPR000237	GRIP domain	interpro	domain		PF01465,PS50913,SM00755	
IPR000241	Putative RNA methylase domain	interpro	domain		PF01170,PS01261	
IPR000242	PTP type protein phosphatase	interpro	domain		PF00102,PR00700,SM00194,PS50055	GO:0004725,GO:0006470
IPR000249	Microcompartment protein, bacteria	interpro	domain		PF00936,SM00877	
IPR000253	Forkhead-associated (FHA) domain	interpro	domain		PF00498,SM00240,PS50006,cd00060	GO:0005515
IPR000254	Cellulose-binding domain, fungal	interpro	domain		PF00734,SM00236,PS00562,PS51164	GO:0030248,GO:0005975,GO:0005576
IPR000257	Uroporphyrinogen decarboxylase (URO-D)	interpro	domain		PF01208,PS00906,PS00907	GO:0004853,GO:0006779
IPR000259	Fimbrial-type adhesion domain	interpro	domain		PF00419	GO:0007155,GO:0009289
IPR000260	NADH:ubiquinone oxidoreductase chain 4, N-terminal	interpro	domain		PF01059	GO:0055114
IPR000261	EH domain	interpro	domain		SM00027,PS50031,cd00052,PF12763	GO:0005515
IPR000262	FMN-dependent dehydrogenase	interpro	domain		PF01070	GO:0016491
IPR000270	PB1 domain	interpro	domain		PF00564,SM00666,PS51745	GO:0005515
IPR000280	Pestivirus NS3, peptidase S31	interpro	domain		PF05578,PR00729,PS51535	GO:0004252
IPR000281	Helix-turn-helix protein RpiR	interpro	domain		PF01418,PS51071	GO:0003700,GO:0006355
IPR000293	Channel forming colicin, C-terminal cytotoxic	interpro	domain		PR00280,PF01024,PS00276	GO:0019835,GO:0050829,GO:0016021
IPR000294	Gamma-carboxyglutamic acid-rich (GLA) domain	interpro	domain		PR00001,SM00069,PF00594,PS00011,PS50998	GO:0005509,GO:0005576
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	interpro	domain		PF00639,PF13145,PS50198	GO:0003755
IPR000298	Cytochrome c oxidase subunit III-like	interpro	domain		PF00510,PS50253	GO:0015002,GO:0016020
IPR000299	FERM domain	interpro	domain		PS50057	GO:0005856
IPR000300	Inositol polyphosphate-related phosphatase	interpro	domain		SM00128	GO:0046856
IPR000305	GIY-YIG endonuclease	interpro	domain		SM00465,PF01541,PS50164	
IPR000306	FYVE zinc finger	interpro	domain		SM00064,PF01363	GO:0046872
IPR000310	Orn/Lys/Arg decarboxylase, major domain	interpro	domain		PF01276,PS00703,cd00615	GO:0003824
