Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000336	Flavivirus/Alphavirus glycoprotein, immunoglobulin-like domain superfamily	interpro	homologous_superfamily		G3DSA:2.60.40.350	
IPR000415	Nitroreductase-like	interpro	homologous_superfamily		G3DSA:3.40.109.10,SSF55469	GO:0016491
IPR001227	Acyl transferase domain superfamily	interpro	homologous_superfamily		G3DSA:3.40.366.10	GO:0016740
IPR001920	Asp/Glu racemase	interpro	homologous_superfamily		SSF53681	GO:0016855
IPR002869	Pyruvate-flavodoxin oxidoreductase, central domain	interpro	homologous_superfamily		G3DSA:3.40.920.10,SSF53323	GO:0016491,GO:0055114
IPR003143	Cytochrome cd1-nitrite reductase, C-terminal domain superfamily	interpro	homologous_superfamily		G3DSA:2.140.10.20	
IPR003374	ApbE-like superfamily	interpro	homologous_superfamily		SSF143631	
IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-like	interpro	homologous_superfamily		SSF89095	GO:0016884
IPR004115	GAD-like domain superfamily	interpro	homologous_superfamily		SSF55261,G3DSA:3.30.1360.30	GO:0004812,GO:0005524,GO:0005737
IPR004216	L-fucose/L-arabinose isomerase, C-terminal	interpro	homologous_superfamily		SSF50443	
IPR005801	ADC synthase	interpro	homologous_superfamily		SSF56322,G3DSA:3.60.120.10	GO:0009058
IPR008210	Phosphoenolpyruvate carboxykinase, N-terminal	interpro	homologous_superfamily		G3DSA:3.40.449.10,SSF68923	GO:0004611,GO:0017076,GO:0006094
IPR008250	P-type ATPase, A domain superfamily	interpro	homologous_superfamily		SSF81653	
IPR008280	Tubulin/FtsZ, C-terminal	interpro	homologous_superfamily		SSF55307	
IPR008916	Retrovirus capsid, C-terminal	interpro	homologous_superfamily		G3DSA:1.10.1200.30	
IPR008917	Transcription factor, Skn-1-like, DNA-binding domain superfamily	interpro	homologous_superfamily		SSF47454	GO:0003677,GO:0006355
IPR008919	Retrovirus capsid, N-terminal	interpro	homologous_superfamily		G3DSA:1.10.375.10,SSF47943	GO:0016032
IPR008920	Transcription regulator FadR/GntR, C-terminal	interpro	homologous_superfamily		SSF48008,G3DSA:1.20.120.530	
IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	interpro	homologous_superfamily		SSF48019	GO:0003677,GO:0006260
IPR008922	Uncharacterised domain, di-copper centre	interpro	homologous_superfamily		G3DSA:1.10.1280.10,SSF48056	
IPR008924	Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal	interpro	homologous_superfamily		G3DSA:1.20.840.10,SSF48081	GO:0050524,GO:0015948
IPR008925	Aminoacyl-tRNA synthetase, class I, anticodon-binding	interpro	homologous_superfamily		SSF48163	GO:0000049
IPR008926	Ribonucleotide reductase R1 subunit, N-terminal	interpro	homologous_superfamily		SSF48168	
IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	interpro	homologous_superfamily		SSF48179	GO:0055114
IPR008928	Six-hairpin glycosidase superfamily	interpro	homologous_superfamily		SSF48208	GO:0003824
IPR008929	Chondroitin AC/alginate lyase	interpro	homologous_superfamily		SSF48230,G3DSA:1.50.10.100	
IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	interpro	homologous_superfamily		SSF48239	
IPR008935	Virus capsid protein, alpha-helical	interpro	homologous_superfamily		SSF48345	GO:0005198,GO:0019028
IPR008936	Rho GTPase activation protein	interpro	homologous_superfamily		SSF48350,G3DSA:1.10.555.10	GO:0007165
IPR008939	Lytic transglycosylase, superhelical U-shaped	interpro	homologous_superfamily		SSF48435	GO:0004553,GO:0042597
IPR008942	ENTH/VHS	interpro	homologous_superfamily		SSF48464,G3DSA:1.25.40.90	
IPR008947	Phospholipase C/P1 nuclease domain superfamily	interpro	homologous_superfamily		G3DSA:1.10.575.10,SSF48537	GO:0016788
IPR008948	L-Aspartase-like	interpro	homologous_superfamily		SSF48557	GO:0003824
