Entry	Gene ontology (cellular component)
Q9AT76	nucleus [GO:0005634]
Q8GXE6	integral component of membrane [GO:0016021]
O80452	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of mitochondrial outer membrane [GO:0031307]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]
Q9SXL4	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9FIR1	nucleus [GO:0005634]
Q93ZG3	Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; nucleotide-excision repair complex [GO:0000109]; nucleus [GO:0005634]
Q9SQR2	chloroplast [GO:0009507]
Q9SX33	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q94AP0	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]
Q8LPN5	nucleus [GO:0005634]
P93738	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
Q84RR0	cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151]
F4JSH1	integral component of membrane [GO:0016021]
Q8VY89	anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]
Q9ZPX1	cytoplasm [GO:0005737]; microtubule cytoskeleton [GO:0015630]
Q9C5C4	
Q9C5A4	cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151]
Q9XIR4	chloroplast [GO:0009507]
Q9XEE2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; plastid [GO:0009536]; thylakoid [GO:0009579]
Q8VZ56	apoplast [GO:0048046]; extracellular region [GO:0005576]
F4JQH3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]
Q9LYP5	nucleus [GO:0005634]
O22806	chromocenter [GO:0010369]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; spindle microtubule [GO:0005876]
O64697	integral component of membrane [GO:0016021]
Q9T045	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]
P92527	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; plasma membrane [GO:0005886]
Q9ZWA1	nucleus [GO:0005634]
F4HVZ1	extracellular space [GO:0005615]; lysosome [GO:0005764]
O22842	plasma membrane [GO:0005886]
F4I2H2	
Q9C7C3	cytoplasm [GO:0005737]; nucleus [GO:0005634]
F4K5T2	cytoplasm [GO:0005737]
Q9LUJ8	cytoplasm [GO:0005737]
Q9LJI2	cytoplasmic vesicle membrane [GO:0030659]; endomembrane system [GO:0012505]; endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]
Q9M205	
Q8GX92	endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]
Q9M007	endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]
Q8L3R2	
Q9SJN6	
Q9XJ36	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplastic endopeptidase Clp complex [GO:0009840]; chloroplast stroma [GO:0009570]; chloroplast thylakoid [GO:0009534]; endopeptidase Clp complex [GO:0009368]; extracellular region [GO:0005576]; plastoglobule [GO:0010287]
O04209	cell plate [GO:0009504]; chloroplast envelope [GO:0009941]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin vesicle coat [GO:0030125]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; phragmoplast [GO:0009524]; plasma membrane [GO:0005886]
Q9SZ75	
Q9FHD5	anchored component of membrane [GO:0031225]; anchored component of plasma membrane [GO:0046658]; integral component of membrane [GO:0016021]
F4I248	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9ZQB9	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasmodesma [GO:0009506]
Q9XEC7	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9LRL4	extracellular region [GO:0005576]
Q94A16	Golgi apparatus [GO:0005794]; Golgi cis cisterna [GO:0000137]; mitochondrion [GO:0005739]
Q9C952	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]
O82339	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9SRZ0	chloroplast envelope [GO:0009941]; cullin-RING ubiquitin ligase complex [GO:0031461]; SCF ubiquitin ligase complex [GO:0019005]
Q9FHH8	nucleus [GO:0005634]
Q9SYD8	cytosol [GO:0005829]
P47998	apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
P93009	chloroplast [GO:0009507]; chloroplast intermembrane space [GO:0031972]
Q8L7G7	extracellular region [GO:0005576]
Q2V4G9	extracellular region [GO:0005576]
Q9FL12	nucleolus [GO:0005730]; nucleus [GO:0005634]
Q2V485	extracellular region [GO:0005576]
Q8H1H9	
Q9FIM0	nucleus [GO:0005634]
P29385	nucleus [GO:0005634]
Q9SS01	peroxisome [GO:0005777]
Q9LMI3	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
B9DHT4	nucleus [GO:0005634]; plasma membrane [GO:0005886]
P0DH91	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; vacuole [GO:0005773]
Q8VYV9	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]
Q9SU94	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q949T8	chromatin [GO:0000785]; nucleus [GO:0005634]
Q9SD88	integral component of membrane [GO:0016021]
Q9SCV8	apoplast [GO:0048046]; cell wall [GO:0005618]; plastid [GO:0009536]; vacuole [GO:0005773]
Q42533	acetyl-CoA carboxylase complex [GO:0009317]; chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; plastid [GO:0009536]
A0A140JWM8	integral component of membrane [GO:0016021]
O80823	integral component of membrane [GO:0016021]
Q682T9	
Q2UVJ5	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
Q945S5	integral component of membrane [GO:0016021]; plant-type vacuole membrane [GO:0009705]
Q9SQU4	nucleus [GO:0005634]
P25819	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; glyoxysome [GO:0009514]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; stromule [GO:0010319]
O82199	plasma membrane [GO:0005886]
Q9SZA4	anaphase-promoting complex [GO:0005680]; mitotic checkpoint complex [GO:0033597]; nucleus [GO:0005634]
P24100	cortical microtubule, transverse to long axis [GO:0010005]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; preprophase band [GO:0009574]
Q38872	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9FKE6	cyclin/CDK positive transcription elongation factor complex [GO:0008024]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]
Q9LMT0	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor TFIIK complex [GO:0070985]
O80504	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; plastid [GO:0009536]
Q9LF54	cytoplasm [GO:0005737]
Q9SYQ8	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
Q8L7Z0	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9SKU1	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin vesicle coat [GO:0030125]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q9SZ92	
Q8GWP3	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuole [GO:0005773]
Q2V419	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleus [GO:0005634]
P42730	chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q9FGU8	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9M297	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
Q9SRW9	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
Q9LRL9	extracellular region [GO:0005576]
Q8RX80	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O65479	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q56X75	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9FGR0	cytosol [GO:0005829]; nucleus [GO:0005634]
O50055	nucleus [GO:0005634]
Q9LZP9	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]; supramolecular complex [GO:0099080]
Q9ZQ91	
Q9MA41	apoplast [GO:0048046]; Golgi apparatus [GO:0005794]
P80844	cell wall [GO:0005618]; extracellular region [GO:0005576]
F4JN00	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]; trans-Golgi network [GO:0005802]
Q56Y11	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]
Q9SH69	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plastid [GO:0009536]; secretory vesicle [GO:0099503]
Q8LG70	cytoplasm [GO:0005737]; cytosol [GO:0005829]; vacuolar membrane [GO:0005774]
Q9LH82	integral component of membrane [GO:0016021]
Q9M2V6	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9C991	mitochondrion [GO:0005739]
Q9FN75	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P17839	nucleus [GO:0005634]
A8MRP2	
Q9SF85	apoplast [GO:0048046]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
Q94K49	ESC/E(Z) complex [GO:0035098]; nucleus [GO:0005634]; PRC1 complex [GO:0035102]
Q38838	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9SUC0	mitochondrion [GO:0005739]
F4JNY0	nucleus [GO:0005634]
Q9ZV53	integral component of membrane [GO:0016021]
Q9C8Y4	chloroplast [GO:0009507]
Q8GYM3	HAUS complex [GO:0070652]; phragmoplast [GO:0009524]; spindle microtubule [GO:0005876]
O80668	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
O65036	nucleus [GO:0005634]
F4IV99	nucleus [GO:0005634]; plasmodesma [GO:0009506]
Q9SL03	1,3-beta-D-glucan synthase complex [GO:0000148]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O24603	apoplast [GO:0048046]; secretory vesicle [GO:0099503]
Q9ZPR1	cytoskeleton [GO:0005856]; nucleus [GO:0005634]; phragmoplast [GO:0009524]
Q9SU87	cytosol [GO:0005829]
Q9XEX4	cytosol [GO:0005829]
Q94AM9	cytoplasmic stress granule [GO:0010494]
O65684	Casparian strip [GO:0048226]
Q9SUL7	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8S8N3	apoplast [GO:0048046]; extracellular space [GO:0005615]
Q9FLE2	mRNA cleavage factor complex [GO:0005849]; nucleus [GO:0005634]
Q8LFL4	apoplast [GO:0048046]; extracellular space [GO:0005615]
O49519	apoplast [GO:0048046]; extracellular space [GO:0005615]
Q93Y22	COPI-coated vesicle [GO:0030137]; COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
F4JRR1	cytoplasmic vesicle [GO:0031410]; Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]; vacuole [GO:0005773]
Q9SAA9	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9SIH1	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]
