Entry	Gene ontology (cellular component)
Q20646	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O16850	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
G5EDT1	chromatin [GO:0000785]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
Q10655	nucleus [GO:0005634]
P42573	caspase complex [GO:0008303]; cytoplasm [GO:0005737]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; presynapse [GO:0098793]
P92186	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9Y0A1	cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcoplasmic reticulum [GO:0016529]; secretory granule membrane [GO:0030667]
Q0G819	axon [GO:0030424]; calcineurin complex [GO:0005955]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; nucleus [GO:0005634]; perikaryon [GO:0043204]
P30429	apoptosome [GO:0043293]; caspase complex [GO:0008303]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]
O01761	A band [GO:0031672]; integral component of plasma membrane [GO:0005887]; M band [GO:0031430]
O76360	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P54811	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]
G5EGD2	nucleus [GO:0005634]
G5EBV0	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; nucleus [GO:0005634]
G5EDF7	cytoplasm [GO:0005737]
G5EEM5	centrosome [GO:0005813]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; spindle pole [GO:0000922]
G5EE01	axon [GO:0030424]; cell projection [GO:0042995]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
G5EFF5	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q10651	cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]
Q05062	cell cortex [GO:0005938]; cell projection [GO:0042995]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]
Q17381	nucleus [GO:0005634]
Q968Y9	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; receptor complex [GO:0043235]; spanning component of plasma membrane [GO:0044214]
Q8I4N4	dendrite [GO:0030425]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
G5ECN9	axon [GO:0030424]; cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; integral component of Golgi membrane [GO:0030173]; membrane [GO:0016020]; synapse [GO:0045202]; trans-Golgi network [GO:0005802]
P34766	condensed chromosome kinetochore [GO:0000777]; condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]
P55853	chromosome [GO:0005694]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; spindle [GO:0005819]
G5EEU3	
P91408	
P41990	integral component of membrane [GO:0016021]
Q18515	integral component of membrane [GO:0016021]
Q20027	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
O17386	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
O76373	cilium [GO:0005929]; cytosol [GO:0005829]; dendrite [GO:0030425]; perikaryon [GO:0043204]
P34556	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]
Q9XXH8	basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytoplasmic side of apical plasma membrane [GO:0098592]; cytoplasmic side of plasma membrane [GO:0009898]; early endosome membrane [GO:0031901]; recycling endosome membrane [GO:0055038]
G5ECW5	cytoplasm [GO:0005737]
Q95XP7	
Q21346	cullin-RING ubiquitin ligase complex [GO:0031461]; SCF ubiquitin ligase complex [GO:0019005]
P52011	cell [GO:0005623]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]
O45679	cytoplasm [GO:0005737]
O62220	
O61235	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
O76337	cytoplasmic side of plasma membrane [GO:0009898]; phagocytic vesicle [GO:0045335]
Q9XVS3	
W6RTA4	axon [GO:0030424]; exocytic vesicle [GO:0070382]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]
P34271	cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; synapse [GO:0045202]
P52714	
Q09637	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P34552	basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle [GO:0031410]; multivesicular body [GO:0005771]; organelle [GO:0043226]; recycling endosome [GO:0055037]
G5EDL5	
Q27487	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
Q95YF3	cytoplasmic stress granule [GO:0010494]; intracellular organelle [GO:0043229]; messenger ribonucleoprotein complex [GO:1990124]; P-body [GO:0000932]; P granule [GO:0043186]; ribonucleoprotein complex [GO:1990904]
P34618	chromosome [GO:0005694]; nucleus [GO:0005634]
G5EFV5	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]
Q9GS00	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]
O01592	cytoplasm [GO:0005737]
P34804	collagen trimer [GO:0005581]; extracellular region [GO:0005576]
Q17389	cullin-RING ubiquitin ligase complex [GO:0031461]; cytoplasm [GO:0005737]; SCF ubiquitin ligase complex [GO:0019005]
P34355	peroxisome [GO:0005777]
Q9U389	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; sarcomere [GO:0030017]; striated muscle dense body [GO:0055120]
Q09585	nucleus [GO:0005634]
O44441	mitochondrion [GO:0005739]
G5EEI4	cytoplasm [GO:0005737]; external side of apical plasma membrane [GO:0098591]; extracellular region [GO:0005576]; lysosome [GO:0005764]
Q20779	integral component of membrane [GO:0016021]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]
Q09455	collagen trimer [GO:0005581]
Q19705	aster [GO:0005818]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]
P53489	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]
Q23192	microtubule [GO:0005874]
