Entry	Gene ontology (cellular component)
Q9H553	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q96QF7	nucleus [GO:0005634]
Q13023	calcium channel complex [GO:0034704]; caveola [GO:0005901]; cytoplasm [GO:0005737]; intercalated disc [GO:0014704]; junctional sarcoplasmic reticulum membrane [GO:0014701]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; sarcoplasmic reticulum [GO:0016529]; T-tubule [GO:0030315]
Q8WTP8	nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q7Z7M1	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]
Q9NP61	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]
P36404	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; lateral plasma membrane [GO:0016328]; microtubule cytoskeleton [GO:0015630]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q6NSI1	
Q9NQ90	chloride channel complex [GO:0034707]; non-motile cilium [GO:0097730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q99873	cytoplasm [GO:0005737]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9H765	cytosol [GO:0005829]
P48047	mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O60566	anaphase-promoting complex [GO:0005680]; condensed chromosome kinetochore [GO:0000777]; condensed chromosome outer kinetochore [GO:0000940]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]
P02746	blood microparticle [GO:0072562]; cell [GO:0005623]; collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; complement component C1 complex [GO:0005602]; extracellular region [GO:0005576]; postsynapse [GO:0098794]; synapse [GO:0045202]
