Entry	Gene ontology (cellular component)
Q7TN79	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; exocytic vesicle [GO:0070382]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; sarcoplasmic reticulum [GO:0016529]; T-tubule [GO:0030315]
Q8CJG1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; polysome [GO:0005844]; ribonucleoprotein complex [GO:1990904]; RISC complex [GO:0016442]; RISC-loading complex [GO:0070578]
P97783	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]
Q8C033	centrosome [GO:0005813]; cytosol [GO:0005829]
P35374	integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q9CZK6	cilium [GO:0005929]; cytoplasm [GO:0005737]
Q5F259	cytoplasm [GO:0005737]; early endosome [GO:0005769]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q8R0Z6	collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; secretory granule [GO:0030141]
Q9JJJ3	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]
Q8VD46	cytoplasm [GO:0005737]; cytosol [GO:0005829]; pi-body [GO:0071546]
P00688	extracellular space [GO:0005615]
Q8BZ25	cell projection [GO:0042995]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q6NXK8	cell surface [GO:0009986]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q9CQC6	cytoplasm [GO:0005737]
Q8R066	extracellular space [GO:0005615]
Q8K2Y9	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]
O08529	cell projection [GO:0042995]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial intermembrane space [GO:0005758]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]
P06797	apical plasma membrane [GO:0016324]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; lysosome [GO:0005764]; microvillus [GO:0005902]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perikaryon [GO:0043204]; vacuole [GO:0005773]
Q9D7Q1	extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]
P27548	cell body [GO:0044297]; cell projection [GO:0042995]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]
P29452	AIM2 inflammasome complex [GO:0097169]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; IPAF inflammasome complex [GO:0072557]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; NLRP1 inflammasome complex [GO:0072558]; NLRP3 inflammasome complex [GO:0072559]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protease inhibitor complex [GO:0097179]; protein-containing complex [GO:0032991]
Q6ZQ06	axonemal microtubule [GO:0005879]; centriole [GO:0005814]; centrosome [GO:0005813]; nucleus [GO:0005634]; spindle [GO:0005819]
Q8BI22	centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; cytoplasm [GO:0005737]; spindle pole [GO:0000922]
Q3TJM4	chromosome, centromeric region [GO:0000775]; condensed nuclear chromosome kinetochore [GO:0000778]; kinetochore [GO:0000776]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
P01731	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]
Q9CXS4	condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle midzone [GO:0051233]
Q99JP4	anaphase-promoting complex [GO:0005680]
Q9CQP3	mitochondrial intermembrane space [GO:0005758]
Q80YP0	nucleus [GO:0005634]
Q8C1Y8	intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; Mon1-Ccz1 complex [GO:0035658]
P98191	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P51683	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q91Z58	
P47774	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P10810	anchored component of external side of plasma membrane [GO:0031362]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lipopolysaccharide receptor complex [GO:0046696]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
Q6P8Y0	membrane [GO:0016020]
Q9JMB8	anchored component of presynaptic membrane [GO:0099026]; axon [GO:0030424]; parallel fiber to Purkinje cell synapse [GO:0098688]; plasma membrane [GO:0005886]
Q8K0V4	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; P-body [GO:0000932]
Q64739	collagen-containing extracellular matrix [GO:0062023]; collagen trimer [GO:0005581]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
P60824	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
Q91VN2	
Q1ERP8	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]; multivesicular body membrane [GO:0032585]
Q3KNL4	
Q62225	phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]
Q9CX25	
Q8VHS2	adherens junction [GO:0005912]; apical part of cell [GO:0045177]; integral component of membrane [GO:0016021]; microvillus [GO:0005902]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q9D131	nucleoplasm [GO:0005654]
Q8VEA6	extracellular region [GO:0005576]
Q923L3	integral component of membrane [GO:0016021]
Q32M26	integral component of membrane [GO:0016021]
Q9DAQ5	
Q80T79	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8CID0	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q64481	endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
Q8BSU2	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]
Q504P2	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8BX07	nucleus [GO:0005634]
Q61164	chromosome, centromeric region [GO:0000775]; condensed chromosome [GO:0000793]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P58466	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q60753	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q65CL1	adherens junction [GO:0005912]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; fascia adherens [GO:0005916]; lamellipodium [GO:0030027]
Q5SQX6	cytoplasm [GO:0005737]; neuron projection [GO:0043005]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]
Q61301	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; parallel fiber to Purkinje cell synapse [GO:0098688]; postsynaptic density [GO:0014069]; postsynaptic density, intracellular component [GO:0099092]; presynaptic active zone cytoplasmic component [GO:0098831]
Q8CIM3	mitochondrion [GO:0005739]
