Entry	Gene ontology (cellular component)
Q9QYV0	acrosomal vesicle [GO:0001669]; adherens junction [GO:0005912]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; motile cilium [GO:0031514]
P61751	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]
Q5PQP9	cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]
P15823	caveola [GO:0005901]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; T-tubule [GO:0030315]
P15207	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; host cell nucleus [GO:0042025]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q561R8	integral component of plasma membrane [GO:0005887]
Q9EQV9	extracellular space [GO:0005615]
Q5XHY1	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q9JIX5	MLL1 complex [GO:0071339]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q6AYM1	
Q6AY31	
Q5BJU5	AMPA glutamate receptor complex [GO:0032281]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]
Q6AXU9	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P11442	clathrin coat [GO:0030118]; clathrin-coated endocytic vesicle [GO:0045334]; clathrin-coated endocytic vesicle membrane [GO:0030669]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; cytosol [GO:0005829]; extrinsic component of synaptic vesicle membrane [GO:0098850]; melanosome [GO:0042470]; membrane [GO:0016020]; membrane coat [GO:0030117]; mitotic spindle microtubule [GO:1990498]; photoreceptor ribbon synapse [GO:0098684]; presynaptic endocytic zone membrane [GO:0098835]; protein-containing complex [GO:0032991]; sarcolemma [GO:0042383]; spindle [GO:0005819]; terminal bouton [GO:0043195]; T-tubule [GO:0030315]
Q5PQL4	cytosol [GO:0005829]; mRNA cleavage factor complex [GO:0005849]; nucleus [GO:0005634]; tRNA-intron endonuclease complex [GO:0000214]
Q63117	acrosomal vesicle [GO:0001669]; intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q63159	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrion [GO:0005739]
Q04827	chromatin [GO:0000785]; cyclin D2-CDK4 complex [GO:0097129]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; host cell nucleus [GO:0042025]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P08683	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
P48973	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P04166	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]
P60486	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
A0JPP7	
Q62622	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; protein-containing complex [GO:0032991]
