Entry	Gene ontology (biological process)
Q9AT76	flower development [GO:0009908]; negative regulation of flower development [GO:0009910]; photoperiodism, flowering [GO:0048573]; regulation of flower development [GO:0009909]; regulation of transcription, DNA-templated [GO:0006355]
Q8GXE6	regulation of ion transmembrane transport [GO:0034765]
O80452	AMP metabolic process [GO:0046033]; embryo development ending in seed dormancy [GO:0009793]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; response to abscisic acid [GO:0009737]
Q9SXL4	abscisic acid-activated signaling pathway [GO:0009738]; response to osmotic stress [GO:0006970]; response to water deprivation [GO:0009414]; seed maturation [GO:0010431]; stomatal complex patterning [GO:0010375]
Q9FIR1	
Q93ZG3	DNA repair [GO:0006281]; positive regulation of DNA repair [GO:0045739]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; response to UV-B [GO:0010224]; transcription-coupled nucleotide-excision repair [GO:0006283]
Q9SQR2	oxidation-reduction process [GO:0055114]
Q9SX33	phospholipid translocation [GO:0045332]
Q94AP0	allantoin catabolic process [GO:0000256]; cellular response to nitrogen starvation [GO:0006995]; purine nucleobase catabolic process [GO:0006145]; ureide catabolic process [GO:0010136]
Q8LPN5	
P93738	cell division [GO:0051301]
Q84RR0	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]
F4JSH1	anther dehiscence [GO:0009901]; pollen exine formation [GO:0010584]
Q8VY89	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein ubiquitination [GO:0016567]
Q9ZPX1	embryo development ending in seed dormancy [GO:0009793]; embryo sac cellularization [GO:0009558]; endosperm development [GO:0009960]; positive regulation of microtubule polymerization [GO:0031116]; tubulin complex assembly [GO:0007021]
Q9C5C4	arginine biosynthetic process [GO:0006526]
Q9C5A4	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q9XIR4	
Q9XEE2	phloem sucrose unloading [GO:0110128]; polysaccharide transport [GO:0015774]; primary root development [GO:0080022]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]
Q8VZ56	carbohydrate metabolic process [GO:0005975]; response to abscisic acid [GO:0009737]; response to gibberellin [GO:0009739]
F4JQH3	auxin polar transport [GO:0009926]
Q9LYP5	cytokinin-activated signaling pathway [GO:0009736]; phosphorelay signal transduction system [GO:0000160]
O22806	meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle assembly checkpoint [GO:0007094]
O64697	oxidation-reduction process [GO:0055114]; sterol biosynthetic process [GO:0016126]; sterol metabolic process [GO:0016125]
Q9T045	cellulose microfibril organization [GO:0010215]
P92527	cytochrome complex assembly [GO:0017004]; heme transport [GO:0015886]
Q9ZWA1	negative regulation of seed germination [GO:0010187]; regulation of transcription, DNA-templated [GO:0006355]
F4HVZ1	defense response [GO:0006952]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of catalytic activity [GO:0050790]
O22842	cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; defense response [GO:0006952]; polysaccharide catabolic process [GO:0000272]
F4I2H2	DNA repair [GO:0006281]
Q9C7C3	positive regulation of leaf senescence [GO:1900057]; regulation of gene expression [GO:0010468]; regulation of photoperiodism, flowering [GO:2000028]; regulation of transcription, DNA-templated [GO:0006355]
F4K5T2	cysteine biosynthetic process from serine [GO:0006535]; cysteine homeostasis [GO:0080145]; response to oxidative stress [GO:0006979]; stress response to cadmium ion [GO:1990170]
Q9LUJ8	signal transduction [GO:0007165]
Q9LJI2	cation transport [GO:0006812]; cellular cation homeostasis [GO:0030003]; response to cation stress [GO:0043157]
Q9M205	cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
Q8GX92	cation transport [GO:0006812]; monovalent inorganic cation transport [GO:0015672]; potassium ion transport [GO:0006813]; regulation of pH [GO:0006885]
Q9M007	monovalent inorganic cation transport [GO:0015672]; potassium ion transport [GO:0006813]; regulation of pH [GO:0006885]
Q8L3R2	
Q9SJN6	
Q9XJ36	chloroplast organization [GO:0009658]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
O04209	clathrin coat assembly [GO:0048268]; clathrin-dependent endocytosis [GO:0072583]; intracellular protein transport [GO:0006886]
Q9SZ75	ubiquitin-dependent protein catabolic process [GO:0006511]
Q9FHD5	
F4I248	
Q9ZQB9	cell wall organization [GO:0071555]
Q9XEC7	protein phosphorylation [GO:0006468]
Q9LRL4	
Q94A16	
Q9C952	mRNA 3'-end processing by stem-loop binding and cleavage [GO:0006398]; mRNA polyadenylation [GO:0006378]; snRNA processing [GO:0016180]
O82339	cotyledon development [GO:0048825]; cytokinin-activated signaling pathway [GO:0009736]; embryo development ending in seed dormancy [GO:0009793]; ethylene-activated signaling pathway [GO:0009873]; leaf development [GO:0048366]
Q9SRZ0	protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q9FHH8	regulation of flower development [GO:0009909]; regulation of transcription, DNA-templated [GO:0006355]
Q9SYD8	defense response to fungus, incompatible interaction [GO:0009817]; response to fungus [GO:0009620]; response to jasmonic acid [GO:0009753]
P47998	aging [GO:0007568]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process from serine [GO:0006535]; double fertilization forming a zygote and endosperm [GO:0009567]; pollen tube growth [GO:0009860]; response to cadmium ion [GO:0046686]
P93009	response to metal ion [GO:0010038]
Q8L7G7	defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
Q2V4G9	defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
Q9FL12	proteolysis [GO:0006508]
Q2V485	defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
Q8H1H9	abscisic acid-activated signaling pathway [GO:0009738]; amine metabolic process [GO:0009308]; nitric oxide biosynthetic process [GO:0006809]
Q9FIM0	positive regulation of transcription by RNA polymerase II [GO:0045944]
P29385	carpel development [GO:0048440]; plant ovule development [GO:0048481]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of growth [GO:0040008]
Q9SS01	defense response [GO:0006952]; glucosinolate biosynthetic process [GO:0019761]
Q9LMI3	unsaturated fatty acid biosynthetic process [GO:0006636]
B9DHT4	negative regulation of seed germination [GO:0010187]; protein ubiquitination [GO:0016567]; response to abscisic acid [GO:0009737]; response to salt stress [GO:0009651]
P0DH91	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
Q8VYV9	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q9SU94	chromatin organization [GO:0006325]
Q949T8	multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]
Q9SD88	
Q9SCV8	carbohydrate metabolic process [GO:0005975]
Q42533	fatty acid biosynthetic process [GO:0006633]
A0A140JWM8	oxidation-reduction process [GO:0055114]; sterol metabolic process [GO:0016125]; triterpenoid metabolic process [GO:0006722]
O80823	fatty acid metabolic process [GO:0006631]
Q682T9	calcium-mediated signaling [GO:0019722]
Q2UVJ5	cell volume homeostasis [GO:0006884]; chloride ion homeostasis [GO:0055064]; chloride transmembrane transport [GO:1902476]; potassium ion homeostasis [GO:0055075]; potassium ion import across plasma membrane [GO:1990573]
Q945S5	calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; response to auxin [GO:0009733]; root development [GO:0048364]
Q9SQU4	
