Entry	Entry name	Status	Length	Gene ontology (molecular function)
Q9NQ39	RS10L_HUMAN	reviewed	176	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q99470	SDF2_HUMAN	reviewed	211	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]
Q8N8B7	TEANC_HUMAN	reviewed	351	
Q658L1	SAXO2_HUMAN	reviewed	398	microtubule binding [GO:0008017]
O75494	SRS10_HUMAN	reviewed	262	RNA binding [GO:0003723]; RS domain binding [GO:0050733]; unfolded protein binding [GO:0051082]
Q9NQ55	SSF1_HUMAN	reviewed	473	RNA binding [GO:0003723]; rRNA binding [GO:0019843]
Q8IW03	SIAH3_HUMAN	reviewed	269	metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]
Q5HYW3	RTL5_HUMAN	reviewed	569	
Q96L92	SNX27_HUMAN	reviewed	541	phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol binding [GO:0035091]
Q99598	TSNAX_HUMAN	reviewed	290	A2A adenosine receptor binding [GO:0031687]; DNA binding [GO:0003677]; endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]
Q9H489	TSY26_HUMAN	reviewed	355	
P49765	VEGFB_HUMAN	reviewed	207	chemoattractant activity [GO:0042056]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; vascular endothelial growth factor receptor 1 binding [GO:0043183]; vascular endothelial growth factor receptor binding [GO:0005172]
Q96EX3	WDR34_HUMAN	reviewed	536	dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]
Q9NYU1	UGGG2_HUMAN	reviewed	1516	UDP-glucose:glycoprotein glucosyltransferase activity [GO:0003980]; unfolded protein binding [GO:0051082]
Q8NDW8	TT21A_HUMAN	reviewed	1320	
Q5JXB2	UE2NL_HUMAN	reviewed	153	ubiquitin conjugating enzyme activity [GO:0061631]
Q9NRP4	SDHF3_HUMAN	reviewed	125	
P49815	TSC2_HUMAN	reviewed	1807	GTPase activator activity [GO:0005096]; Hsp90 protein binding [GO:0051879]; phosphatase binding [GO:0019902]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]
Q96FV3	TSN17_HUMAN	reviewed	270	enzyme binding [GO:0019899]; ubiquitin-protein transferase activity [GO:0004842]
O95859	TSN12_HUMAN	reviewed	305	
Q05066	SRY_HUMAN	reviewed	204	calmodulin binding [GO:0005516]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription factor binding [GO:0008134]
Q9Y2R5	RT17_HUMAN	reviewed	130	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
Q969E3	UCN3_HUMAN	reviewed	161	corticotropin-releasing hormone receptor 2 binding [GO:0051431]; corticotropin-releasing hormone receptor binding [GO:0051429]; hormone activity [GO:0005179]
Q5T1N1	AKND1_HUMAN	reviewed	836	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
P17213	BPI_HUMAN	reviewed	487	lipopolysaccharide binding [GO:0001530]
Q92772	CDKL2_HUMAN	reviewed	493	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]
Q9P0S2	COX16_HUMAN	reviewed	106	
Q92685	ALG3_HUMAN	reviewed	438	alpha-1,3-mannosyltransferase activity [GO:0000033]; dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0052925]
P15088	CBPA3_HUMAN	reviewed	417	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]
Q96HB5	CC120_HUMAN	reviewed	630	
O95415	BRI3_HUMAN	reviewed	125	identical protein binding [GO:0042802]
H3BNL1	CC084_HUMAN	reviewed	204	
P16152	CBR1_HUMAN	reviewed	277	15-hydroxyprostaglandin dehydrogenase (NADP+) activity [GO:0047021]; carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; prostaglandin-E2 9-reductase activity [GO:0050221]
Q9H8M2	BRD9_HUMAN	reviewed	597	lysine-acetylated histone binding [GO:0070577]; nucleic acid binding [GO:0003676]
Q1T7F1	CCB42_HUMAN	reviewed	81	
P0DN87	CGB7_HUMAN	reviewed	165	hormone activity [GO:0005179]
P15289	ARSA_HUMAN	reviewed	507	arylsulfatase activity [GO:0004065]; calcium ion binding [GO:0005509]; cerebroside-sulfatase activity [GO:0004098]; sulfuric ester hydrolase activity [GO:0008484]
Q8NAV2	CH058_HUMAN	reviewed	365	
P36575	ARRC_HUMAN	reviewed	388	G protein-coupled receptor binding [GO:0001664]; opsin binding [GO:0002046]; phosphoprotein binding [GO:0051219]
Q9HBK9	AS3MT_HUMAN	reviewed	375	arsenite methyltransferase activity [GO:0030791]; methylarsonite methyltransferase activity [GO:0030792]; methyltransferase activity [GO:0008168]
Q6ZSI9	CAN12_HUMAN	reviewed	719	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; calcium ion binding [GO:0005509]
Q16663	CCL15_HUMAN	reviewed	113	CCR chemokine receptor binding [GO:0048020]; chemoattractant activity [GO:0042056]; chemokine activity [GO:0008009]; heparin binding [GO:0008201]; signaling receptor binding [GO:0005102]
Q68D86	C102B_HUMAN	reviewed	513	
P59510	ATS20_HUMAN	reviewed	1910	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
P13501	CCL5_HUMAN	reviewed	91	CCR1 chemokine receptor binding [GO:0031726]; CCR4 chemokine receptor binding [GO:0031729]; CCR5 chemokine receptor binding [GO:0031730]; CCR chemokine receptor binding [GO:0048020]; chemoattractant activity [GO:0042056]; chemokine activity [GO:0008009]; chemokine receptor antagonist activity [GO:0046817]; chemokine receptor binding [GO:0042379]; identical protein binding [GO:0042802]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase activator activity [GO:0016004]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein self-association [GO:0043621]; receptor signaling protein tyrosine kinase activator activity [GO:0030298]
P84077	ARF1_HUMAN	reviewed	181	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; phospholipase D activator activity [GO:1990583]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]
Q9NVP2	ASF1B_HUMAN	reviewed	202	histone binding [GO:0042393]
A5YM69	ARG35_HUMAN	reviewed	484	
P28332	ADH6_HUMAN	reviewed	368	alcohol dehydrogenase (NAD+) activity [GO:0004022]; alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; retinol dehydrogenase activity [GO:0004745]; zinc ion binding [GO:0008270]
