Entry	Entry name	Status	Length	Gene ontology (molecular function)
P12688	YPK1_YEAST	reviewed	680	ATP binding [GO:0005524]; protein kinase regulator activity [GO:0019887]; protein serine/threonine kinase activity [GO:0004674]
P16521	EF3A_YEAST	reviewed	1044	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; rRNA binding [GO:0019843]; translation elongation factor activity [GO:0003746]
P25491	MAS5_YEAST	reviewed	409	ATPase activator activity [GO:0001671]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]
Q04437	KU80_YEAST	reviewed	629	ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; telomerase RNA binding [GO:0070034]; telomeric DNA binding [GO:0042162]
P41800	MMM1_YEAST	reviewed	426	lipid binding [GO:0008289]
P25623	SYP1_YEAST	reviewed	870	cytoskeletal protein binding [GO:0008092]; enzyme inhibitor activity [GO:0004857]; identical protein binding [GO:0042802]
Q12324	YVC1_YEAST	reviewed	675	calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; sodium channel activity [GO:0005272]; voltage-gated ion channel activity [GO:0005244]
P32795	YME1_YEAST	reviewed	747	ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
P40009	YND1_YEAST	reviewed	630	8-oxo-dGTP phosphohydrolase activity [GO:0102490]; ATP binding [GO:0005524]; dATP phosphohydrolase activity [GO:0102485]; dCTP phosphohydrolase activity [GO:0102486]; dGTP phosphohydrolase activity [GO:0102491]; dTTP phosphohydrolase activity [GO:0102488]; dUTP phosphohydrolase activity [GO:0102487]; GTP phosphohydrolase activity [GO:0102489]; nucleoside-diphosphatase activity [GO:0017110]; nucleoside-triphosphatase activity [GO:0017111]
P39109	YCFI_YEAST	reviewed	1515	ATPase activity [GO:0016887]; ATPase-coupled cadmium transmembrane transporter activity [GO:0015434]; ATPase-coupled glutathione S-conjugate transmembrane transporter activity [GO:0015431]; ATPase-coupled peptide transmembrane transporter activity [GO:0015440]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; bilirubin transmembrane transporter activity [GO:0015127]
Q06224	YSH1_YEAST	reviewed	779	5'-3' exonuclease activity [GO:0008409]; endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q06102	YTH1_YEAST	reviewed	208	metal ion binding [GO:0046872]; RNA binding [GO:0003723]
P40492	FYV10_YEAST	reviewed	516	metal ion binding [GO:0046872]; transferase activity [GO:0016740]
P38801	LRP1_YEAST	reviewed	184	double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; enzyme regulator activity [GO:0030234]; protein-containing complex binding [GO:0044877]
Q06681	YSP2_YEAST	reviewed	1438	sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]
P38851	LAM1_YEAST	reviewed	1228	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; sterol transporter activity [GO:0015248]
P53266	SHY1_YEAST	reviewed	389	unfolded protein binding [GO:0051082]
P38783	FYV4_YEAST	reviewed	130	structural constituent of ribosome [GO:0003735]
P47147	YMR1_YEAST	reviewed	688	mRNA binding [GO:0003729]; phosphatidylinositol-3-phosphatase activity [GO:0004438]; protein tyrosine phosphatase activity [GO:0004725]
P25585	FYV5_YEAST	reviewed	152	
Q06563	SYM1_YEAST	reviewed	197	
P33302	PDR5_YEAST	reviewed	1511	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]
P08539	GPA1_YEAST	reviewed	472	G-protein beta/gamma-subunit complex binding [GO:0031683]; G-protein beta-subunit binding [GO:0031681]; G protein-coupled receptor binding [GO:0001664]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]
P02994	EF1A_YEAST	reviewed	458	actin filament binding [GO:0051015]; GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; melatonin binding [GO:1904408]; protein kinase binding [GO:0019901]; Rho GTPase binding [GO:0017048]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]
P16861	PFKA1_YEAST	reviewed	987	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]
Q04049	POLH_YEAST	reviewed	632	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]
Q99190	TECR_YEAST	reviewed	310	oxidoreductase activity [GO:0016491]; very-long-chain enoyl-CoA reductase activity [GO:0102758]
P35184	SQT1_YEAST	reviewed	431	unfolded protein binding [GO:0051082]
P28707	SBA1_YEAST	reviewed	216	chaperone binding [GO:0051087]; Hsp90 protein binding [GO:0051879]
P50089	YG51_YEAST	reviewed	785	
P38269	YBX4_YEAST	reviewed	119	
P53169	YBP2_YEAST	reviewed	641	
Q03201	RT10_YEAST	reviewed	203	structural constituent of ribosome [GO:0003735]
P33759	RT05_YEAST	reviewed	307	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
P26370	UGA3_YEAST	reviewed	528	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity [GO:0001010]; zinc ion binding [GO:0008270]
