Entry	Gene ontology (biological process)
Q20646	determination of adult lifespan [GO:0008340]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; meiotic chromosome segregation [GO:0045132]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]; signal transduction in response to DNA damage [GO:0042770]
O16850	aging [GO:0007568]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; dauer larval development [GO:0040024]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; determination of adult lifespan [GO:0008340]; glucose homeostasis [GO:0042593]; heat acclimation [GO:0010286]; innate immune response [GO:0045087]; insulin receptor signaling pathway [GO:0008286]; muscle tissue development [GO:0060537]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode larval development [GO:0002119]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of apoptotic process [GO:0043065]; positive regulation of dauer larval development [GO:0061066]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of gene expression [GO:0010628]; positive regulation of neuromuscular synaptic transmission [GO:1900075]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle process [GO:0010564]; regulation of dauer entry [GO:1905909]; regulation of dauer larval development [GO:0061065]; regulation of DNA-templated transcription in response to stress [GO:0043620]; regulation of gene expression [GO:0010468]; regulation of lipid biosynthetic process [GO:0046890]; regulation of lipid storage [GO:0010883]; regulation of synaptic growth at neuromuscular junction [GO:0008582]; regulation of transcription, DNA-templated [GO:0006355]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]; response to UV [GO:0009411]; short-term memory [GO:0007614]
G5EDT1	cell differentiation [GO:0030154]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic digestive tract morphogenesis [GO:0048557]; gonad development [GO:0008406]; mitotic cell cycle arrest [GO:0071850]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of DNA endoreduplication [GO:0032876]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of transcription by RNA polymerase I [GO:0016479]; negative regulation of vulval development [GO:0040027]; nematode larval development [GO:0002119]; positive regulation of brood size [GO:0090727]; positive regulation of multicellular organism growth [GO:0040018]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of cell division [GO:0051302]; regulation of mitotic cell cycle [GO:0007346]; regulation of transcription by RNA polymerase II [GO:0006357]; reproduction [GO:0000003]
Q10655	cell fate commitment [GO:0045165]; defense response to Gram-negative bacterium [GO:0050829]; digestion [GO:0007586]; endoderm development [GO:0007492]; innate immune response [GO:0045087]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode larval development [GO:0002119]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in defense response to Gram-negative bacterium [GO:1902097]; regulation of epithelial cell differentiation [GO:0030856]
P42573	actin filament depolymerization [GO:0030042]; activation of cysteine-type endopeptidase activity [GO:0097202]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; apoptotic process involved in development [GO:1902742]; defense response to Gram-negative bacterium [GO:0050829]; embryo development ending in birth or egg hatching [GO:0009792]; execution phase of apoptosis [GO:0097194]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of cellular response to manganese ion [GO:1905803]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic process involved in development [GO:1904747]; positive regulation of cellular response to gamma radiation [GO:1905845]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of oviposition [GO:1901046]; positive regulation of protein processing [GO:0010954]; positive regulation of synapse pruning [GO:1905808]; programmed cell death [GO:0012501]; protein autoprocessing [GO:0016540]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; regulation of cell adhesion [GO:0030155]; regulation of cell fate specification [GO:0042659]; regulation of development, heterochronic [GO:0040034]; regulation of locomotion [GO:0040012]; regulation of protein stability [GO:0031647]; regulation of synapse organization [GO:0050807]; regulation of vulval development [GO:0040028]
P92186	cell fate specification [GO:0001708]; dosage compensation [GO:0007549]; multicellular organism development [GO:0007275]; negative regulation of primary miRNA processing [GO:2000635]; pre-miRNA processing [GO:0031054]; regulation of cell fate specification [GO:0042659]; regulation of development, heterochronic [GO:0040034]
Q9Y0A1	defecation [GO:0030421]; embryonic morphogenesis [GO:0048598]; hermaphrodite genitalia morphogenesis [GO:0048815]; inositol lipid-mediated signaling [GO:0048017]; male mating behavior [GO:0060179]; multicellular organismal reproductive process [GO:0048609]; muscle contraction [GO:0006936]; oocyte maturation [GO:0001556]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of pharyngeal pumping [GO:1903746]; programmed cell death [GO:0012501]; regulation of cell migration [GO:0030334]; regulation of filopodium assembly [GO:0051489]; regulation of pharyngeal pumping [GO:0043051]; release of sequestered calcium ion into cytosol [GO:0051209]; rhythmic behavior [GO:0007622]; sperm ejaculation [GO:0042713]
Q0G819	calcineurin-mediated signaling [GO:0097720]; calcium-mediated signaling [GO:0019722]; chemosensory behavior [GO:0007635]; chemotaxis [GO:0006935]; dauer larval development [GO:0040024]; determination of adult lifespan [GO:0008340]; endocytosis [GO:0006897]; hyperosmotic response [GO:0006972]; olfactory behavior [GO:0042048]; olfactory learning [GO:0008355]; peptidyl-serine dephosphorylation [GO:0070262]; positive regulation of growth rate [GO:0040010]; positive regulation of multicellular organism growth [GO:0040018]; protein dephosphorylation [GO:0006470]; protein localization to non-motile cilium [GO:0097499]; regulation of gene expression [GO:0010468]; response to alkaline pH [GO:0010446]; response to hermaphrodite contact [GO:0034606]; thermosensory behavior [GO:0040040]; thermotaxis [GO:0043052]; vulval location [GO:0034608]
P30429	actin filament depolymerization [GO:0030042]; activation of cysteine-type endopeptidase activity [GO:0097202]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c [GO:0008635]; apoptotic process [GO:0006915]; apoptotic process involved in development [GO:1902742]; defense response to Gram-negative bacterium [GO:0050829]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic morphogenesis [GO:0048598]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of apoptotic process [GO:0043066]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic process involved in development [GO:1904747]; positive regulation of cysteine-type endopeptidase activity [GO:2001056]; positive regulation of protein processing [GO:0010954]; positive regulation of synapse pruning [GO:1905808]; regulation of cell adhesion [GO:0030155]; regulation of cell size [GO:0008361]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; regulation of development, heterochronic [GO:0040034]; regulation of protein stability [GO:0031647]
O01761	cellular protein localization [GO:0034613]; myosin filament assembly [GO:0031034]; pharyngeal gland morphogenesis [GO:1905905]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion [GO:0040017]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of striated muscle contraction [GO:0045989]; regulation of skeletal muscle contraction by calcium ion signaling [GO:0014722]; sarcomere organization [GO:0045214]; skeletal muscle myosin thick filament assembly [GO:0030241]; striated muscle myosin thick filament assembly [GO:0071688]
