Entry	Gene ontology (cellular component)
P25371	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
P38242	integral component of endoplasmic reticulum membrane [GO:0030176]; intrinsic component of endoplasmic reticulum membrane [GO:0031227]; nuclear membrane [GO:0031965]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; UDP-N-acetylglucosamine transferase complex [GO:0043541]
P53909	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P47143	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P43548	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
Q03233	cytoplasm [GO:0005737]
Q12157	anaphase-promoting complex [GO:0005680]; cullin-RING ubiquitin ligase complex [GO:0031461]; nucleus [GO:0005634]
Q12028	AP-1 adaptor complex [GO:0030121]; Golgi membrane [GO:0000139]
P26449	bub1-bub3 complex [GO:1990298]; condensed nuclear chromosome kinetochore [GO:0000778]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]
P00854	integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]
P07252	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrion [GO:0005739]
P06101	cytoplasm [GO:0005737]
P06704	cytoplasm [GO:0005737]; half bridge of spindle pole body [GO:0005825]; microtubule organizing center [GO:0005815]; mitotic spindle pole body [GO:0044732]; nuclear pore [GO:0005643]; transcription export complex 2 [GO:0070390]
P27636	cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]; spindle pole [GO:0000922]; spindle pole body [GO:0005816]
P43618	condensed chromosome kinetochore [GO:0000777]; kinetochore [GO:0000776]; nucleus [GO:0005634]
P22137	actin cortical patch [GO:0030479]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin vesicle coat [GO:0030125]; cytosol [GO:0005829]
P47001	cell periphery [GO:0071944]; cellular bud tip [GO:0005934]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]
Q2V2P9	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respirasome [GO:0005746]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]
P32323	anchored component of membrane [GO:0031225]; cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P40024	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q04413	
P53983	Asi complex [GO:0097658]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]; nuclear periphery [GO:0034399]
Q12675	cell periphery [GO:0071944]; cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mating projection tip membrane [GO:0070867]; plasma membrane [GO:0005886]
