Entry	Entry name	Status	Length	Gene ontology (molecular function)
Q9XWV2	PLBL1_CAEEL	reviewed	571	phospholipase activity [GO:0004620]
O45420	PLHD1_CAEEL	reviewed	570	
Q23223	MTR4_CAEEL	reviewed	1026	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
P91353	RM24_CAEEL	reviewed	278	structural constituent of ribosome [GO:0003735]
P49596	PP2C2_CAEEL	reviewed	356	magnesium-dependent protein serine/threonine phosphatase activity [GO:0004724]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; ubiquitin protein ligase binding [GO:0031625]
Q20548	RN207_CAEEL	reviewed	822	Hsp70 protein binding [GO:0030544]; zinc ion binding [GO:0008270]
O01326	RNC_CAEEL	reviewed	1086	double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]
O02058	PTPS_CAEEL	reviewed	140	6-pyruvoyltetrahydropterin synthase activity [GO:0003874]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
Q9N5Y2	TECR_CAEEL	reviewed	308	oxidoreductase activity [GO:0016491]; very-long-chain enoyl-CoA reductase activity [GO:0102758]
P34399	YLU5_CAEEL	reviewed	199	
Q9GQ63	YL59_CAEEL	reviewed	122	
P34317	UGT60_CAEEL	reviewed	507	glucuronosyltransferase activity [GO:0015020]; UDP-glycosyltransferase activity [GO:0008194]
Q09280	YQI8_CAEEL	reviewed	465	
Q09351	YRU5_CAEEL	reviewed	363	
Q01630	UNC33_CAEEL	reviewed	854	dihydropyrimidinase activity [GO:0004157]; filamin binding [GO:0031005]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides [GO:0016812]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]
Q10932	YT22_CAEEL	reviewed	218	
U4PAZ9	PTRN1_CAEEL	reviewed	1112	calmodulin binding [GO:0005516]; microtubule minus-end binding [GO:0051011]
Q23387	TM151_CAEEL	reviewed	541	
P34279	YKK2_CAEEL	reviewed	128	
Q09506	TX1B3_CAEEL	reviewed	124	
Q17361	UBP14_CAEEL	reviewed	489	thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]
Q19191	YZ10_CAEEL	reviewed	102	
G5ED65	VER1_CAEEL	reviewed	1083	ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q09278	YQI5_CAEEL	reviewed	316	
Q23238	ULP2_CAEEL	reviewed	893	SUMO-specific isopeptidase activity [GO:0070140]
Q10046	VGLU3_CAEEL	reviewed	544	L-glutamate transmembrane transporter activity [GO:0005313]; neurotransmitter transmembrane transporter activity [GO:0005326]; symporter activity [GO:0015293]
P50464	UNC97_CAEEL	reviewed	348	metal ion binding [GO:0046872]; myosin binding [GO:0017022]
P29506	UNC4_CAEEL	reviewed	252	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q09503	TTBK6_CAEEL	reviewed	290	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9XTQ7	ZPT72_CAEEL	reviewed	462	zinc ion transmembrane transporter activity [GO:0005385]
Q8I7G4	TTC30_CAEEL	reviewed	656	intraciliary transport particle B binding [GO:0120170]
P41843	YO93_CAEEL	reviewed	504	
Q22070	PLCG_CAEEL	reviewed	1350	metal ion binding [GO:0046872]; phosphatidylinositol phospholipase C activity [GO:0004435]
P42172	YKL5_CAEEL	reviewed	68	
P34423	YL32_CAEEL	reviewed	503	
Q21802	YEYC_CAEEL	reviewed	550	transferase activity, transferring glycosyl groups [GO:0016757]
Q93834	YYVP_CAEEL	reviewed	515	transferase activity, transferring glycosyl groups [GO:0016757]
Q9XU84	UDA1_CAEEL	reviewed	479	guanosine-diphosphatase activity [GO:0004382]; metal ion binding [GO:0046872]; uridine-diphosphatase activity [GO:0045134]
P34314	TLK1_CAEEL	reviewed	965	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q86DA7	YKO8_CAEEL	reviewed	177	
Q93705	UNC3_CAEEL	reviewed	491	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; histone acetyltransferase binding [GO:0035035]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q10043	YRP1_CAEEL	reviewed	161	
Q10009	YSV3_CAEEL	reviewed	92	
P05690	VIT2_CAEEL	reviewed	1613	lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]
P34521	YM45_CAEEL	reviewed	107	
P34518	YM42_CAEEL	reviewed	228	
Q03575	TTR5_CAEEL	reviewed	139	
P34606	YO66_CAEEL	reviewed	269	
P49049	IMP2_CAEEL	reviewed	468	aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]
O44548	KNL2_CAEEL	reviewed	877	
Q867X0	PARG1_CAEEL	reviewed	781	poly(ADP-ribose) glycohydrolase activity [GO:0004649]
Q09982	NLP32_CAEEL	reviewed	105	
Q22712	MTMR3_CAEEL	reviewed	1006	inositol bisphosphate phosphatase activity [GO:0016312]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity [GO:0052629]; phosphatidylinositol-3-phosphatase activity [GO:0004438]; phosphatidylinositol trisphosphate phosphatase activity [GO:0034594]; protein tyrosine phosphatase activity [GO:0004725]
O45433	SSP32_CAEEL	reviewed	107	
Q95NU5	TORS_CAEEL	reviewed	356	ATPase activity [GO:0016887]; ATP binding [GO:0005524]
Q17374	SUP10_CAEEL	reviewed	332	potassium channel regulator activity [GO:0015459]
O45499	RS26_CAEEL	reviewed	117	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
P52478	UBC1_CAEEL	reviewed	192	ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]
Q9XTQ6	TBH1_CAEEL	reviewed	657	copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen [GO:0016715]; tyramine-beta hydroxylase activity [GO:0004836]
Q19910	YKYL_CAEEL	reviewed	455	oxidoreductase activity [GO:0016491]
O61764	TBX32_CAEEL	reviewed	441	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
P34311	YKR5_CAEEL	reviewed	436	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]
Q965Q8	XYLT_CAEEL	reviewed	806	acetylglucosaminyltransferase activity [GO:0008375]; metal ion binding [GO:0046872]; protein xylosyltransferase activity [GO:0030158]
P34292	YKO4_CAEEL	reviewed	315	
Q09307	YQR2_CAEEL	reviewed	495	
Q09392	YR49_CAEEL	reviewed	545	
Q10044	YRT1_CAEEL	reviewed	379	
Q10011	YSV5_CAEEL	reviewed	489	lipid binding [GO:0008289]
O61460	VAB1_CAEEL	reviewed	1122	ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]; protein domain specific binding [GO:0019904]; protein tyrosine kinase activity [GO:0004713]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q22267	PLC2_CAEEL	reviewed	282	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
Q09488	SMA6_CAEEL	reviewed	636	ATP binding [GO:0005524]; BMP binding [GO:0036122]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta receptor activity, type I [GO:0005025]
O01914	TAF1B_CAEEL	reviewed	865	metal ion binding [GO:0046872]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]
Q9N428	TCL2_CAEEL	reviewed	435	
P34558	YNP5_CAEEL	reviewed	237	ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]
P34668	YO12_CAEEL	reviewed	593	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
O02115	PCNA_CAEEL	reviewed	263	DNA binding [GO:0003677]; DNA polymerase binding [GO:0070182]; DNA polymerase processivity factor activity [GO:0030337]
Q21735	NTF2_CAEEL	reviewed	133	
P46569	SRG11_CAEEL	reviewed	335	transmembrane signaling receptor activity [GO:0004888]
O16974	SRG53_CAEEL	reviewed	295	transmembrane signaling receptor activity [GO:0004888]
P54127	SRG5_CAEEL	reviewed	323	transmembrane signaling receptor activity [GO:0004888]
Q27371	TNNT_CAEEL	reviewed	405	calcium ion binding [GO:0005509]
P27604	SAHH_CAEEL	reviewed	437	adenosylhomocysteinase activity [GO:0004013]
Q9TYT3	SHCH1_CAEEL	reviewed	316	insulin-like growth factor receptor binding [GO:0005159]; mitogen-activated protein kinase kinase binding [GO:0031434]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]
Q86DA5	SARM1_CAEEL	reviewed	1000	identical protein binding [GO:0042802]; protein kinase binding [GO:0019901]; Rab GTPase binding [GO:0017137]; signaling adaptor activity [GO:0035591]
Q7Z118	YMPB_CAEEL	reviewed	578	transmembrane transporter activity [GO:0022857]
P34596	YOD4_CAEEL	reviewed	149	
Q9XTC6	MOM4_CAEEL	reviewed	536	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q10657	TPIS_CAEEL	reviewed	247	methylglyoxal synthase activity [GO:0008929]; triose-phosphate isomerase activity [GO:0004807]
P91351	SLX1_CAEEL	reviewed	443	5'-flap endonuclease activity [GO:0017108]; crossover junction endodeoxyribonuclease activity [GO:0008821]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]
Q09287	YQK3_CAEEL	reviewed	318	tRNA (guanine-N1-)-methyltransferase activity [GO:0009019]; tRNA binding [GO:0000049]
Q09550	YQU3_CAEEL	reviewed	1312	
Q09343	YR27_CAEEL	reviewed	325	
P27715	UNC13_CAEEL	reviewed	2155	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; diacylglycerol binding [GO:0019992]; phospholipid binding [GO:0005543]; syntaxin-1 binding [GO:0017075]
Q09383	YS87_CAEEL	reviewed	249	
Q09356	YRZ4_CAEEL	reviewed	313	
Q09400	YRB3_CAEEL	reviewed	463	
Q10909	YS95_CAEEL	reviewed	362	G protein-coupled receptor activity [GO:0004930]
Q09466	WHT3_CAEEL	reviewed	610	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]
P18948	VIT6_CAEEL	reviewed	1651	lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]
P90893	YM9I_CAEEL	reviewed	540	dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]
P34627	YOJ4_CAEEL	reviewed	290	
P34651	YOT5_CAEEL	reviewed	824	
P48053	YPD1_CAEEL	reviewed	995	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
O01323	U729_CAEEL	reviewed	84	
P46556	YKG6_CAEEL	reviewed	577	citrate transmembrane transporter activity [GO:0015137]; succinate transmembrane transporter activity [GO:0015141]
P34290	YKO2_CAEEL	reviewed	185	
Q11103	YL18_CAEEL	reviewed	687	
Q09384	YS88_CAEEL	reviewed	109	protein phosphatase 1 binding [GO:0008157]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]
P91309	VIP1_CAEEL	reviewed	1323	5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]
P34888	WNT1_CAEEL	reviewed	372	frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; receptor tyrosine kinase binding [GO:0030971]
Q18594	YC4B5_CAEEL	reviewed	236	
Q95QY7	YKKA_CAEEL	reviewed	380	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
P34330	YKZ3_CAEEL	reviewed	348	
P34406	YLW3_CAEEL	reviewed	99	
P41949	YLK1_CAEEL	reviewed	382	kinase activity [GO:0016301]
Q11192	YX21_CAEEL	reviewed	113	
Q10928	YWR5_CAEEL	reviewed	165	
O62518	YHPK_CAEEL	reviewed	292	snoRNA binding [GO:0030515]
Q94218	UFSP_CAEEL	reviewed	589	cysteine-type peptidase activity [GO:0008234]
Q09256	YQB3_CAEEL	reviewed	150	
Q09288	YQK4_CAEEL	reviewed	538	
Q09394	YR75_CAEEL	reviewed	221	
Q7YSI9	UNC53_CAEEL	reviewed	1654	actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]
G5EFD5	UNC71_CAEEL	reviewed	1042	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]
Q10958	YT31_CAEEL	reviewed	182	
P50438	YSH7_CAEEL	reviewed	113	
P34502	TTR1_CAEEL	reviewed	156	
Q9XW92	VATA_CAEEL	reviewed	606	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
P34553	YNK2_CAEEL	reviewed	395	
P91303	VATG_CAEEL	reviewed	126	proton-exporting ATPase activity, phosphorylative mechanism [GO:0008553]; proton transmembrane transporter activity [GO:0015078]
Q09439	YP79_CAEEL	reviewed	443	
Q09235	YQ42_CAEEL	reviewed	458	glycerate kinase activity [GO:0008887]
P34320	YKT9_CAEEL	reviewed	184	
Q8WQG1	YLC1_CAEEL	reviewed	222	
Q22306	YW12_CAEEL	reviewed	396	hydrolase activity [GO:0016787]
Q11114	YX07_CAEEL	reviewed	847	
Q10938	YWS2_CAEEL	reviewed	413	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q27245	YH24_CAEEL	reviewed	522	aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metalloexopeptidase activity [GO:0008235]
Q23307	YHB8_CAEEL	reviewed	250	
Q95XU6	ZC3HE_CAEEL	reviewed	740	metal ion binding [GO:0046872]; poly(A) binding [GO:0008143]
Q22835	ZIP10_CAEEL	reviewed	165	core promoter binding [GO:0001047]
Q09526	YQN5_CAEEL	reviewed	253	
Q09340	YR23_CAEEL	reviewed	111	
Q09374	YS48_CAEEL	reviewed	587	dGTPase activity [GO:0008832]
Q7YWX7	WLS_CAEEL	reviewed	549	Wnt-protein binding [GO:0017147]
Q09951	YSR3_CAEEL	reviewed	169	
Q11098	TSP17_CAEEL	reviewed	312	D2 dopamine receptor binding [GO:0031749]
P34530	YM91_CAEEL	reviewed	248	
