Entry	Gene ontology (biological process)
Q90YJ2	response to hypoxia [GO:0001666]
Q9PVE4	camera-type eye development [GO:0043010]; cell differentiation [GO:0030154]; hormone-mediated signaling pathway [GO:0009755]; inner ear development [GO:0048839]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; retinal cone cell development [GO:0046549]; retinal cone cell fate determination [GO:0042671]; thyroid hormone mediated signaling pathway [GO:0002154]
O42222	cardiac muscle myoblast proliferation [GO:0110021]; immune response [GO:0006955]; muscle organ development [GO:0007517]; negative regulation of cardiac muscle myoblast proliferation [GO:0110023]; negative regulation of growth [GO:0045926]; negative regulation of growth rate [GO:0045967]; negative regulation of skeletal muscle tissue development [GO:0048642]; negative regulation of striated muscle tissue development [GO:0045843]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; regulation of muscle hyperplasia [GO:0014738]; skeletal muscle tissue development [GO:0007519]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ventricular trabecula myocardium morphogenesis [GO:0003222]
Q9I8N6	developmental pigmentation [GO:0048066]; hematopoietic progenitor cell differentiation [GO:0002244]; immune response in brain or nervous system [GO:0002383]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; macrophage chemotaxis [GO:0048246]; melanocyte differentiation [GO:0030318]; melanocyte migration [GO:0097324]; microglia differentiation [GO:0014004]; multicellular organism development [GO:0007275]; osteoclast development [GO:0036035]; osteoclast differentiation [GO:0030316]; pigmentation [GO:0043473]; positive regulation of kinase activity [GO:0033674]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of neural retina development [GO:0061075]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; xanthophore differentiation [GO:0050936]
Q8UVJ6	actin filament organization [GO:0007015]; anterior/posterior axon guidance [GO:0033564]; axis elongation [GO:0003401]; cell migration in hindbrain [GO:0021535]; cell migration involved in gastrulation [GO:0042074]; cell morphogenesis [GO:0000902]; cilium assembly [GO:0060271]; cilium organization [GO:0044782]; cloaca development [GO:0035844]; commissural neuron axon guidance [GO:0071679]; convergent extension [GO:0060026]; convergent extension involved in axis elongation [GO:0060028]; convergent extension involved in gastrulation [GO:0060027]; dorsal convergence [GO:0060030]; embryonic eye morphogenesis [GO:0048048]; establishment of cell polarity [GO:0030010]; establishment of mitotic spindle orientation [GO:0000132]; establishment of planar polarity [GO:0001736]; establishment or maintenance of cell polarity [GO:0007163]; extracellular matrix organization [GO:0030198]; eye development [GO:0001654]; left/right pattern formation [GO:0060972]; motor neuron migration [GO:0097475]; muscle cell migration [GO:0014812]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; neural plate morphogenesis [GO:0001839]; neural tube development [GO:0021915]; neural tube formation [GO:0001841]; neuron migration [GO:0001764]; notochord development [GO:0030903]; notochord morphogenesis [GO:0048570]; otolith development [GO:0048840]; photoreceptor cell outer segment organization [GO:0035845]; positive regulation of Wnt signaling pathway, calcium modulating pathway [GO:0045813]; post-anal tail morphogenesis [GO:0036342]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
P47793	canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; cell migration involved in gastrulation [GO:0042074]; embryonic viscerocranium morphogenesis [GO:0048703]; habenula development [GO:0021986]; heart development [GO:0007507]; multicellular organism development [GO:0007275]; neuron differentiation [GO:0030182]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of axon extension involved in axon guidance [GO:0048841]; sensory epithelium regeneration [GO:0070654]
Q9W6T7	amyloid-beta formation [GO:0034205]; amyloid-beta metabolic process [GO:0050435]; amyloid precursor protein catabolic process [GO:0042987]; brain development [GO:0007420]; calcium ion transport [GO:0006816]; canonical Wnt signaling pathway [GO:0060070]; lymphangiogenesis [GO:0001946]; melanocyte differentiation [GO:0030318]; membrane protein ectodomain proteolysis [GO:0006509]; negative regulation of apoptotic process [GO:0043066]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; optomotor response [GO:0071632]; positive regulation of catalytic activity [GO:0043085]; protein processing [GO:0016485]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of endopeptidase activity [GO:0052548]; response to hypoxia [GO:0001666]; smooth endoplasmic reticulum calcium ion homeostasis [GO:0051563]; somite development [GO:0061053]; swimming behavior [GO:0036269]
Q9DDK4	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; angiogenesis [GO:0001525]; cell migration involved in gastrulation [GO:0042074]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; mesodermal cell migration [GO:0008078]; negative regulation of angiogenesis [GO:0016525]; positive regulation of cell migration [GO:0030335]; regulation of blood vessel remodeling [GO:0060312]; regulation of metabolic process [GO:0019222]; sphingosine-1-phosphate receptor signaling pathway [GO:0003376]; sprouting angiogenesis [GO:0002040]; vasculature development [GO:0001944]
Q91392	cell differentiation [GO:0030154]; hormone-mediated signaling pathway [GO:0009755]; liver development [GO:0001889]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pharyngeal system development [GO:0060037]; positive regulation of transcription by RNA polymerase II [GO:0045944]; retinoic acid receptor signaling pathway [GO:0048384]
O73682	activation of phospholipase C activity [GO:0007202]; angioblast cell migration from lateral mesoderm to midline [GO:0035479]; angiogenesis [GO:0001525]; artery morphogenesis [GO:0048844]; blood vessel development [GO:0001568]; blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:0002043]; branching involved in blood vessel morphogenesis [GO:0001569]; cardioblast migration to the midline involved in heart rudiment formation [GO:0003319]; central nervous system vasculogenesis [GO:0022009]; dorsal aorta development [GO:0035907]; endocardial progenitor cell migration to the midline involved in heart field formation [GO:0003262]; hemopoiesis [GO:0030097]; induction of positive chemotaxis [GO:0050930]; motor neuron axon guidance [GO:0008045]; phosphorylation [GO:0016310]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell division [GO:0051781]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of mast cell chemotaxis [GO:0060754]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of protein phosphorylation [GO:0001934]; pronephros development [GO:0048793]; protein kinase B signaling [GO:0043491]; regulation of angioblast cell migration involved in selective angioblast sprouting [GO:0035477]; regulation of heart contraction [GO:0008016]; regulation of vasculature development [GO:1901342]; response to glucose [GO:0009749]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]; thyroid gland development [GO:0030878]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vascular endothelial growth factor signaling pathway [GO:0038084]; vasculature development [GO:0001944]; vasculogenesis [GO:0001570]; venous blood vessel development [GO:0060841]
