Entry	Entry name	Status	Length	Gene ontology (molecular function)
Q90259	ASL1A_DANRE	reviewed	196	protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
Q9I8N6	CSF1R_DANRE	reviewed	977	ATP binding [GO:0005524]; cytokine binding [GO:0019955]; growth factor binding [GO:0019838]; macrophage colony-stimulating factor receptor activity [GO:0005011]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q6PH17	ATAT_DANRE	reviewed	297	coenzyme binding [GO:0050662]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; tubulin N-acetyltransferase activity [GO:0019799]
F1RCP1	BECN1_DANRE	reviewed	447	
Q9DDE3	ACES_DANRE	reviewed	634	acetylcholinesterase activity [GO:0003990]
Q6EIG3	CP26B_DANRE	reviewed	511	C-22 sterol desaturase activity [GO:0000249]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; retinoic acid 4-hydroxylase activity [GO:0008401]
A0T2N3	APJB_DANRE	reviewed	359	apelin receptor activity [GO:0060182]; G protein-coupled receptor activity [GO:0004930]
Q7SZP9	APJA_DANRE	reviewed	362	apelin receptor activity [GO:0060182]; G protein-coupled receptor activity [GO:0004930]
B8JLQ9	CBPO_DANRE	reviewed	363	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]
Q8JHI3	AR13B_DANRE	reviewed	407	GTP binding [GO:0005525]
A0MTA1	APEX1_DANRE	reviewed	310	class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA binding [GO:0003677]; double-stranded DNA 3'-5' exodeoxyribonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; phosphodiesterase I activity [GO:0004528]; RNA binding [GO:0003723]
P79739	CP26A_DANRE	reviewed	492	C-22 sterol desaturase activity [GO:0000249]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; retinoic acid 4-hydroxylase activity [GO:0008401]
Q5RGQ2	ANM8B_DANRE	reviewed	419	arginine N-methyltransferase activity [GO:0016273]; identical protein binding [GO:0042802]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]; S-adenosyl-L-methionine binding [GO:1904047]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
Q5M9P8	ARL6_DANRE	reviewed	186	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]
F1RBC8	ABCD1_DANRE	reviewed	766	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; long-chain fatty acid transporter activity [GO:0005324]
U3JAG9	CP131_DANRE	reviewed	1113	
P85001	CE290_DANRE	reviewed	2439	
Q6DGB6	CC103_DANRE	reviewed	247	
Q90460	C166A_DANRE	reviewed	564	identical protein binding [GO:0042802]
P48802	FGF3_DANRE	reviewed	256	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]
Q9I9E1	FOXH1_DANRE	reviewed	472	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; SMAD binding [GO:0046332]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
