Entry	Gene ontology (cellular component)
Q90YJ2	cytoplasm [GO:0005737]; perikaryon [GO:0043204]
Q9PVE4	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
O42222	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q9I8N6	CSF1-CSF1R complex [GO:1990682]; integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]
Q8UVJ6	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P47793	extracellular space [GO:0005615]
Q9W6T7	apical plasma membrane [GO:0016324]; axon [GO:0030424]; cell cortex [GO:0005938]; cell surface [GO:0009986]; ciliary rootlet [GO:0035253]; dendritic shaft [GO:0043198]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; gamma-secretase complex [GO:0070765]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum [GO:0005790]; Z disc [GO:0030018]
Q9DDK4	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]
Q91392	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
O73682	extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]
Q9PTN2	cytoplasm [GO:0005737]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q1L673	cytoplasm [GO:0005737]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
P79734	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q6NZ04	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
Q90416	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q92050	extracellular space [GO:0005615]
Q90417	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
P35359	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment [GO:0001750]
Q7SYN5	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q90423	nucleus [GO:0005634]
O42606	nucleus [GO:0005634]
O57474	apical plasma membrane [GO:0016324]; connexin complex [GO:0005922]; gap junction [GO:0005921]; integral component of membrane [GO:0016021]; intercalated disc [GO:0014704]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
