Entry	Entry name	Status	Length	Gene ontology (molecular function)
E9PXF8	MTMRD_MOUSE	reviewed	1872	phosphatase binding [GO:0019902]; phosphatase regulator activity [GO:0019208]; phosphatidylinositol binding [GO:0035091]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]
Q8C5T4	MORN3_MOUSE	reviewed	241	
P16646	PMP22_MOUSE	reviewed	161	motor activity [GO:0003774]
P26041	MOES_MOUSE	reviewed	577	actin binding [GO:0003779]; cell adhesion molecule binding [GO:0050839]; double-stranded RNA binding [GO:0003725]; enzyme binding [GO:0019899]; protein kinase binding [GO:0019901]; signaling receptor binding [GO:0005102]
Q80UM3	NAA15_MOUSE	reviewed	865	N-acetyltransferase activity [GO:0008080]; ribosome binding [GO:0043022]
Q8BG07	PLD4_MOUSE	reviewed	503	N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; single-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0045145]
P43883	PLIN2_MOUSE	reviewed	425	
Q5SUV5	MYLK4_MOUSE	reviewed	386	ATP binding [GO:0005524]; myosin light chain kinase activity [GO:0004687]
Q8K0S0	PHYIP_MOUSE	reviewed	330	protein tyrosine kinase binding [GO:1990782]
Q9D483	RPC3_MOUSE	reviewed	533	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; single-stranded DNA binding [GO:0003697]
Q9JJ80	RPF2_MOUSE	reviewed	306	5S rRNA binding [GO:0008097]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; rRNA binding [GO:0019843]
Q05921	RN5A_MOUSE	reviewed	735	ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; ribonuclease activity [GO:0004540]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]
Q80XJ2	RN168_MOUSE	reviewed	565	chromatin binding [GO:0003682]; histone binding [GO:0042393]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metal ion binding [GO:0046872]; nucleosome binding [GO:0031491]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]
Q64008	RAB34_MOUSE	reviewed	259	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; guanyl nucleotide binding [GO:0019001]; Ral GTPase binding [GO:0017160]
Q8QZS5	RN183_MOUSE	reviewed	190	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
Q91VI7	RINI_MOUSE	reviewed	456	ribonuclease inhibitor activity [GO:0008428]
P63325	RS10_MOUSE	reviewed	165	structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]
Q62172	RBP1_MOUSE	reviewed	648	ATPase-coupled transmembrane transporter activity [GO:0042626]; GTPase activator activity [GO:0005096]; Rac GTPase binding [GO:0048365]; Ral GTPase binding [GO:0017160]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]
O35696	SIA8B_MOUSE	reviewed	375	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]
Q9R1C0	TAF7_MOUSE	reviewed	341	DNA-binding transcription factor activity [GO:0003700]; H3K27me3 modified histone binding [GO:0061628]; histone acetyltransferase binding [GO:0035035]; protein heterodimerization activity [GO:0046982]; P-TEFb complex binding [GO:0106140]; TFIIH-class transcription factor complex binding [GO:0001097]; thyroid hormone receptor binding [GO:0046966]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; vitamin D receptor binding [GO:0042809]
Q3UPR0	SHSA3_MOUSE	reviewed	238	
Q8BLS7	SWAHA_MOUSE	reviewed	548	
Q8VI23	S12A8_MOUSE	reviewed	705	potassium:chloride symporter activity [GO:0015379]
Q3TVW5	TCHP_MOUSE	reviewed	497	
Q9DCD5	TJAP1_MOUSE	reviewed	539	
Q810U2	TDM1A_MOUSE	reviewed	305	
P61407	TDRD6_MOUSE	reviewed	2134	
Q91VP7	TM101_MOUSE	reviewed	257	
Q9CPV0	TM107_MOUSE	reviewed	140	
P62754	RS6_MOUSE	reviewed	249	mRNA binding [GO:0003729]; protein kinase binding [GO:0019901]; structural constituent of ribosome [GO:0003735]
Q149S1	TEKT4_MOUSE	reviewed	447	
Q922Z1	TM159_MOUSE	reviewed	161	
Q9CXT7	TM192_MOUSE	reviewed	266	protein homodimerization activity [GO:0042803]
Q80YX1	TENA_MOUSE	reviewed	2110	fibronectin binding [GO:0001968]; syndecan binding [GO:0045545]
Q8VD26	TM143_MOUSE	reviewed	458	
Q91VX9	TM168_MOUSE	reviewed	697	
Q8BYI9	TENR_MOUSE	reviewed	1358	integrin binding [GO:0005178]; sphingolipid binding [GO:0046625]
P23475	XRCC6_MOUSE	reviewed	608	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; damaged DNA binding [GO:0003684]; DNA helicase activity [GO:0003678]; double-stranded DNA binding [GO:0003690]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; telomeric DNA binding [GO:0042162]; transcription regulatory region DNA binding [GO:0044212]
Q9QZU9	UB2L6_MOUSE	reviewed	153	ATP binding [GO:0005524]; ISG15 transferase activity [GO:0042296]; ubiquitin binding [GO:0043130]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-like protein transferase activity [GO:0019787]; ubiquitin protein ligase binding [GO:0031625]
Q9QXE5	TSSP_MOUSE	reviewed	509	dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]
Q6ZWY8	TYB10_MOUSE	reviewed	44	actin monomer binding [GO:0003785]
Q0KL01	UBX2B_MOUSE	reviewed	331	ubiquitin binding [GO:0043130]
D3Z3C6	ZFAN4_MOUSE	reviewed	739	zinc ion binding [GO:0008270]
P07146	TRY2_MOUSE	reviewed	246	calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]
Q8R5H6	WASF1_MOUSE	reviewed	559	actin binding [GO:0003779]; protein kinase A binding [GO:0051018]
P97764	WBP1_MOUSE	reviewed	304	WW domain binding [GO:0050699]
Q0VGT4	ZGRF1_MOUSE	reviewed	1863	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
