Entry	Entry name	Status	Length	Gene ontology (molecular function)
Q10728	MYPT1_RAT	reviewed	1032	14-3-3 protein binding [GO:0071889]; enzyme inhibitor activity [GO:0004857]; phosphatase regulator activity [GO:0019208]; phosphoprotein phosphatase activity [GO:0004721]; protein kinase binding [GO:0019901]
Q63625	PHRF1_RAT	reviewed	1685	metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; RNA polymerase binding [GO:0070063]
P43884	PLIN1_RAT	reviewed	517	
Q5BK26	PLPL7_RAT	reviewed	1349	carboxylic ester hydrolase activity [GO:0052689]; lysophospholipase activity [GO:0004622]
P11654	PO210_RAT	reviewed	1886	structural constituent of nuclear pore [GO:0017056]
P21531	RL3_RAT	reviewed	403	5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]
Q5I0E6	RPAP2_RAT	reviewed	609	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; RNA polymerase core enzyme binding [GO:0043175]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]
D3Z8N2	RN187_RAT	reviewed	236	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
Q6PDV7	RL10_RAT	reviewed	214	structural constituent of ribosome [GO:0003735]; translation regulator activity [GO:0045182]
B0BN49	RBMX2_RAT	reviewed	328	RNA binding [GO:0003723]
Q5PQP1	RBMS1_RAT	reviewed	403	DNA binding [GO:0003677]; RNA binding [GO:0003723]
P02634	S100G_RAT	reviewed	79	calcium ion binding [GO:0005509]; transition metal ion binding [GO:0046914]; vitamin D binding [GO:0005499]
P05964	S10A6_RAT	reviewed	89	calcium-dependent protein binding [GO:0048306]; calcium ion binding [GO:0005509]; ion transmembrane transporter activity [GO:0015075]; protein homodimerization activity [GO:0042803]; S100 protein binding [GO:0044548]; tropomyosin binding [GO:0005523]; zinc ion binding [GO:0008270]
Q5EBA1	SUV3_RAT	reviewed	776	3'-5' RNA helicase activity [GO:0034458]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; double-stranded RNA binding [GO:0003725]; protein homodimerization activity [GO:0042803]; RNA helicase activity [GO:0003724]
Q9R1R4	TDRD7_RAT	reviewed	1113	mRNA binding [GO:0003729]; protein N-terminus binding [GO:0047485]
