Entry	Gene ontology (biological process)
P25371	transmembrane transport [GO:0055085]
P38242	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]
P53909	adenine catabolic process [GO:0006146]; hypoxanthine salvage [GO:0043103]; nucleotide metabolic process [GO:0009117]; purine-containing compound salvage [GO:0043101]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]
P47143	AMP salvage [GO:0044209]; purine nucleobase metabolic process [GO:0006144]; purine ribonucleoside salvage [GO:0006166]
P43548	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]
Q03233	ubiquitin-dependent ERAD pathway [GO:0030433]
Q12157	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q12028	Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898]
P26449	mitotic DNA integrity checkpoint [GO:0044774]; mitotic spindle assembly checkpoint [GO:0007094]; positive regulation of protein autoubiquitination [GO:1902499]
P00854	ATP synthesis coupled proton transport [GO:0015986]
P07252	aerobic respiration [GO:0009060]; mitochondrial mRNA catabolic process [GO:0000958]; mRNA processing [GO:0006397]
P06101	cell division [GO:0051301]; osmosensory signaling MAPK cascade [GO:0000161]; positive regulation of MAPK cascade [GO:0043410]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; spindle pole body duplication [GO:0030474]
P06704	cell division [GO:0051301]; mRNA transport [GO:0051028]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein transport [GO:0015031]; regulation of kinase activity [GO:0043549]; spindle pole body duplication [GO:0030474]
P27636	activation of protein kinase activity [GO:0032147]; meiotic spindle disassembly [GO:0051229]; mitotic cytokinesis [GO:0000281]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; protein phosphorylation [GO:0006468]; regulation of exit from mitosis [GO:0007096]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
P43618	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; negative regulation of NMS complex assembly [GO:1901720]
P22137	cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; Golgi to endosome transport [GO:0006895]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898]
P47001	fungal-type cell wall organization [GO:0031505]
Q2V2P9	
P32323	agglutination involved in conjugation with cellular fusion [GO:0000752]
P40024	ribosomal small subunit export from nucleus [GO:0000056]; ribosome biogenesis [GO:0042254]
Q04413	
P53983	cellular response to amino acid stimulus [GO:0071230]; transcription factor catabolic process [GO:0036369]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q12675	endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; phospholipid translocation [GO:0045332]; protein transport [GO:0015031]; response to pheromone triggering conjugation with cellular fusion [GO:0000749]
Q12406	ATP-dependent chromatin remodeling [GO:0043044]; chromatin organization [GO:0006325]; histone H4 acetylation [GO:0043967]; nucleosome disassembly [GO:0006337]; nucleosome mobilization [GO:0042766]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P31386	tRNA wobble uridine modification [GO:0002098]
P03965	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; arginine biosynthetic process [GO:0006526]; citrulline biosynthetic process [GO:0019240]; nitrogen compound metabolic process [GO:0006807]; UTP biosynthetic process [GO:0006228]
Q06702	ascospore wall assembly [GO:0030476]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]
P25651	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; homologous chromosome segregation [GO:0045143]; meiotic chromosome segregation [GO:0045132]; meiotic sister chromatid segregation [GO:0045144]; monopolar spindle attachment to meiosis I kinetochore [GO:0051455]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA condensation [GO:0070550]
P38930	cellular response to DNA damage stimulus [GO:0006974]; cellular response to drug [GO:0035690]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; protein phosphorylation [GO:0006468]; regulation of transcription by RNA polymerase I [GO:0006356]; regulation of transcription by RNA polymerase III [GO:0006359]; rRNA methylation [GO:0031167]
Q12348	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; protein deneddylation [GO:0000338]
P53822	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; vesicle-mediated transport [GO:0016192]
P53943	amino acid export across plasma membrane [GO:0032973]; drug transmembrane transport [GO:0006855]; monocarboxylic acid transport [GO:0015718]; transmembrane transport [GO:0055085]
Q99325	reticulophagy [GO:0061709]
P38840	alpha-amino acid metabolic process [GO:1901605]; aromatic amino acid family biosynthetic process [GO:0009073]; aromatic amino acid family catabolic process [GO:0009074]; aromatic amino acid family metabolic process [GO:0009072]; L-kynurenine catabolic process [GO:0097053]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-phenylalanine biosynthetic process [GO:0009094]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; tyrosine biosynthetic process [GO:0006571]
P07834	cell division [GO:0051301]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic cell cycle [GO:0051321]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; sporulation resulting in formation of a cellular spore [GO:0030435]; ubiquitin-dependent protein catabolic process [GO:0006511]
P19073	actin cytoskeleton organization [GO:0030036]; actin filament organization [GO:0007015]; budding cell apical bud growth [GO:0007118]; budding cell isotropic bud growth [GO:0007119]; Cdc42 protein signal transduction [GO:0032488]; cell cycle [GO:0007049]; cell projection assembly [GO:0030031]; conjugation with cellular fusion [GO:0000747]; cortical cytoskeleton organization [GO:0030865]; endocytosis [GO:0006897]; establishment of cell polarity [GO:0030010]; establishment or maintenance of cell polarity [GO:0007163]; invasive growth in response to glucose limitation [GO:0001403]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of exocytosis [GO:0045921]; positive regulation of pseudohyphal growth [GO:2000222]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell morphogenesis [GO:0022604]; regulation of cell shape [GO:0008360]; regulation of exit from mitosis [GO:0007096]; regulation of exocyst localization [GO:0060178]; regulation of initiation of mating projection growth [GO:0031384]; regulation of vacuole fusion, non-autophagic [GO:0032889]; Rho protein signal transduction [GO:0007266]; septin ring organization [GO:0031106]
P38147	DNA damage checkpoint [GO:0000077]; mitotic G2 DNA damage checkpoint [GO:0007095]; protein phosphorylation [GO:0006468]; replication fork protection [GO:0048478]; signal transduction involved in mitotic DNA damage checkpoint [GO:1902402]
P22516	DNA duplex unwinding [GO:0032508]; establishment of sister chromatid cohesion [GO:0034085]; interstrand cross-link repair [GO:0036297]; mitotic sister chromatid cohesion [GO:0007064]
Q00684	autophagy of mitochondrion [GO:0000422]; cell division [GO:0051301]; cellular response to osmotic stress [GO:0071470]; chromosome segregation [GO:0007059]; meiotic spindle disassembly [GO:0051229]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; mitotic cell cycle arrest [GO:0071850]; peptidyl-serine dephosphorylation [GO:0070262]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of cytokinesis [GO:0032467]; positive regulation of mitotic actomyosin contractile ring assembly [GO:1903501]; protein dephosphorylation [GO:0006470]; regulation of exit from mitosis [GO:0007096]
Q06156	autophagy of nucleus [GO:0044804]; cell division [GO:0051301]; chromosome separation [GO:0051304]; maintenance of rDNA [GO:0043007]; meiotic chromosome condensation [GO:0010032]; meiotic chromosome separation [GO:0051307]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of meiotic DNA double-strand break formation [GO:1903342]; rDNA condensation [GO:0070550]; silent mating-type cassette heterochromatin assembly [GO:0030466]; synaptonemal complex assembly [GO:0007130]; tRNA gene clustering [GO:0070058]
Q04368	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; protein deneddylation [GO:0000338]
P33307	cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of protein export from nucleus [GO:0046827]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]; snRNA import into nucleus [GO:0061015]
P32623	carbohydrate metabolic process [GO:0005975]; cell wall chitin metabolic process [GO:0006037]; fungal-type cell wall organization [GO:0031505]
P43497	fungal-type cell wall organization [GO:0031505]
P40351	oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein N-linked glycosylation [GO:0006487]
Q02336	chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; chromatin silencing at telomere [GO:0006348]; histone acetylation [GO:0016573]; positive regulation of histone acetylation [GO:0035066]; rDNA heterochromatin assembly [GO:0000183]; regulation of transcription by RNA polymerase II [GO:0006357]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]
P38116	cellular protein-containing complex localization [GO:0034629]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; endocytosis [GO:0006897]; Golgi to plasma membrane protein transport [GO:0043001]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; protein localization to Golgi apparatus [GO:0034067]; protein localization to phagophore assembly site [GO:0034497]; protein targeting to vacuole [GO:0006623]; response to endoplasmic reticulum stress [GO:0034976]; vesicle-mediated transport [GO:0016192]
P0CZ17	asparagine catabolic process [GO:0006530]; cellular response to nitrogen starvation [GO:0006995]
Q06596	positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance [GO:0061395]
P40344	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; C-terminal protein lipidation [GO:0006501]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; late nucleophagy [GO:0044805]; piecemeal microautophagy of the nucleus [GO:0034727]; protein targeting to membrane [GO:0006612]
P14180	chitin biosynthetic process [GO:0006031]; fungal-type cell wall organization [GO:0031505]; mitotic actomyosin contractile ring maintenance [GO:1902406]
P40452	mitochondrial cytochrome c oxidase assembly [GO:0033617]
P19516	aerobic respiration [GO:0009060]; cellular protein-containing complex assembly [GO:0034622]
