Entry	Entry name	Status	Length	Gene ontology (molecular function)
Q93ZR8	RRT2_ARATH	reviewed	512	transferase activity, transferring glycosyl groups [GO:0016757]
Q9SJT1	SAE2_ARATH	reviewed	700	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; SUMO activating enzyme activity [GO:0019948]; transferase activity [GO:0016740]
Q9SD22	SDEH3_ARATH	reviewed	463	
Q9SZY3	SBT38_ARATH	reviewed	775	serine-type endopeptidase activity [GO:0004252]
Q31708	RT04_ARATH	reviewed	362	rRNA binding [GO:0019843]
Q9SD40	SRS1_ARATH	reviewed	370	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]
Q9SCU0	SDR2A_ARATH	reviewed	303	oxidoreductase activity [GO:0016491]
Q9LUB6	SNE_ARATH	reviewed	157	
O82122	VSP2_ARATH	reviewed	265	acid phosphatase activity [GO:0003993]; nutrient reservoir activity [GO:0045735]
P61843	YCF3_ARATH	reviewed	168	
Q9LRP3	Y3174_ARATH	reviewed	467	ATP binding [GO:0005524]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
P16128	Y4849_ARATH	reviewed	756	
Q9SJ44	UEV1C_ARATH	reviewed	145	ubiquitin conjugating enzyme activity [GO:0061631]
Q9T0A7	UGE2_ARATH	reviewed	350	UDP-glucose 4-epimerase activity [GO:0003978]
Q9C7W7	UGE4_ARATH	reviewed	348	UDP-glucose 4-epimerase activity [GO:0003978]
Q5BPN1	Y3572_ARATH	reviewed	158	
Q0WR59	Y5020_ARATH	reviewed	1048	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
Q9SXC8	UFC1_ARATH	reviewed	174	UFM1 transferase activity [GO:0071568]
O04421	SRP14_ARATH	reviewed	121	7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]
Q9ZSB0	SBT39_ARATH	reviewed	756	serine-type endopeptidase activity [GO:0004252]
Q9SCM4	SAP13_ARATH	reviewed	249	transcription regulatory region DNA binding [GO:0044212]; zinc ion binding [GO:0008270]
Q84VZ5	UGPI2_ARATH	reviewed	199	
Q9MA63	Y3550_ARATH	reviewed	246	
Q9ZQ46	WAVH1_ARATH	reviewed	683	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
Q9C9Z0	Y3866_ARATH	reviewed	582	
Q3E7N5	Y5406_ARATH	reviewed	126	DNA binding [GO:0003677]
Q0WSZ8	WDL6_ARATH	reviewed	403	
P93749	Y2197_ARATH	reviewed	365	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
Q94K18	Y4966_ARATH	reviewed	103	
Q9ASQ6	Y1972_ARATH	reviewed	1019	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q8L7C8	RWA1_ARATH	reviewed	540	acetyltransferase activity [GO:0016407]; oxidoreductase activity [GO:0016491]
P58223	Y4837_ARATH	reviewed	606	RNA binding [GO:0003723]
Q8VYA3	WAKLJ_ARATH	reviewed	769	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; guanylate cyclase activity [GO:0004383]; polysaccharide binding [GO:0030247]; protein serine/threonine kinase activity [GO:0004674]
C0LGG3	Y5182_ARATH	reviewed	885	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9SZ05	Y3440_ARATH	reviewed	397	DNA binding [GO:0003677]
Q9FJA2	TT2_ARATH	reviewed	258	ATP binding [GO:0005524]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region DNA binding [GO:0044212]
Q9XIE6	ALA3_ARATH	reviewed	1213	aminophospholipid flippase activity [GO:0015247]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]
O49717	CDPKF_ARATH	reviewed	554	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]
Q9SAF5	ALA11_ARATH	reviewed	1203	ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]
Q9SUR6	CORI3_ARATH	reviewed	422	cystathionine beta-lyase activity [GO:0004121]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]
Q9XF88	CB4B_ARATH	reviewed	287	chlorophyll binding [GO:0016168]; metal ion binding [GO:0046872]
Q9FKT8	COX15_ARATH	reviewed	457	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]
Q8GYL9	BRXL2_ARATH	reviewed	374	
Q8LPK5	CESA8_ARATH	reviewed	985	cellulose synthase (UDP-forming) activity [GO:0016760]; cellulose synthase activity [GO:0016759]; metal ion binding [GO:0046872]
Q9FGR9	CEP1_ARATH	reviewed	361	cysteine-type endopeptidase activity [GO:0004197]
Q9LF98	ALFC8_ARATH	reviewed	358	copper ion binding [GO:0005507]; fructose-bisphosphate aldolase activity [GO:0004332]
Q6DBG8	ARAD1_ARATH	reviewed	447	transferase activity, transferring glycosyl groups [GO:0016757]
Q84N64	ARC5_ARATH	reviewed	777	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]
Q681K2	ATS3A_ARATH	reviewed	179	
Q9FGV1	ARFH_ARATH	reviewed	811	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region DNA binding [GO:0044212]
Q9LP65	CAR5_ARATH	reviewed	200	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]
Q9SCN2	C71BU_ARATH	reviewed	498	heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]
O64989	C90B1_ARATH	reviewed	513	fatty acid alpha-hydroxylase activity [GO:0080132]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; steroid 22-alpha hydroxylase activity [GO:0010012]
Q9LND8	ADSL2_ARATH	reviewed	299	16:0 monogalactosyldiacylglycerol desaturase activity [GO:0009979]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]
Q9LRK1	CRR36_ARATH	reviewed	251	
Q9S7L8	CDA5_ARATH	reviewed	346	cytidine deaminase activity [GO:0004126]; zinc ion binding [GO:0008270]
Q9LJ44	COL12_ARATH	reviewed	364	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region DNA binding [GO:0044212]; zinc ion binding [GO:0008270]
O04983	ACCC_ARATH	reviewed	537	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]
Q9LRK8	CRR29_ARATH	reviewed	256	
Q9CA42	CRWN3_ARATH	reviewed	1085	
Q8GWW7	AGUA_ARATH	reviewed	383	agmatine deiminase activity [GO:0047632]; protein-arginine deiminase activity [GO:0004668]
O80658	AAE4_ARATH	reviewed	545	ligase activity [GO:0016874]
Q9SXL4	AHK1_ARATH	reviewed	1207	histidine phosphotransfer kinase activity [GO:0009927]; osmosensor activity [GO:0005034]; phosphorelay sensor kinase activity [GO:0000155]
Q84MB3	ACCH1_ARATH	reviewed	365	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
P93824	ACCH6_ARATH	reviewed	360	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
Q3S4A7	AHK5_ARATH	reviewed	922	histidine phosphotransfer kinase activity [GO:0009927]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]
Q9M2C4	ACCH8_ARATH	reviewed	370	1-aminocyclopropane-1-carboxylate oxidase activity [GO:0009815]; dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
Q9SY14	CSCL2_ARATH	reviewed	785	calcium activated cation channel activity [GO:0005227]
O22812	AHL10_ARATH	reviewed	351	AT DNA binding [GO:0003680]
Q9XEA1	CSCL5_ARATH	reviewed	772	calcium activated cation channel activity [GO:0005227]; cation channel activity [GO:0005261]
F4HYR3	CSCL6_ARATH	reviewed	778	calcium activated cation channel activity [GO:0005227]
O22130	AHL22_ARATH	reviewed	317	AT DNA binding [GO:0003680]; DNA-binding transcription factor activity [GO:0003700]; histone deacetylase binding [GO:0042826]; protein self-association [GO:0043621]
Q8H1S4	ACCH3_ARATH	reviewed	369	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
Q06588	ACCO4_ARATH	reviewed	323	1-aminocyclopropane-1-carboxylate oxidase activity [GO:0009815]; dioxygenase activity [GO:0051213]; L-ascorbic acid binding [GO:0031418]; metal ion binding [GO:0046872]
Q9FVQ5	CSCL1_ARATH	reviewed	806	calcium activated cation channel activity [GO:0005227]; mechanosensitive ion channel activity [GO:0008381]
O80963	ACCR2_ARATH	reviewed	776	ATP binding [GO:0005524]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
Q9SAZ5	AHP3_ARATH	reviewed	155	histidine phosphotransfer kinase activity [GO:0009927]; protein histidine kinase binding [GO:0043424]
Q8LPS2	ACD6_ARATH	reviewed	670	
Q8L9T7	AHP5_ARATH	reviewed	157	histidine phosphotransfer kinase activity [GO:0009927]; protein histidine kinase binding [GO:0043424]
P0DH95	CALM1_ARATH	reviewed	149	calcium ion binding [GO:0005509]
Q9C8Y4	ATA15_ARATH	reviewed	417	
Q6NMF0	CLE13_ARATH	reviewed	107	receptor serine/threonine kinase binding [GO:0033612]
Q3EDI6	CLE20_ARATH	reviewed	83	receptor serine/threonine kinase binding [GO:0033612]
Q8L9H6	CLE17_ARATH	reviewed	99	
Q38858	CALR2_ARATH	reviewed	424	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]
Q9LUA1	CLE27_ARATH	reviewed	91	
Q6IWB1	CLE43_ARATH	reviewed	96	receptor serine/threonine kinase binding [GO:0033612]
F4IIM1	CSI1_ARATH	reviewed	2150	microtubule binding [GO:0008017]
O49519	CLE2_ARATH	reviewed	75	receptor serine/threonine kinase binding [GO:0033612]
Q08467	CSK21_ARATH	reviewed	409	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]
Q8S8N1	CLE7_ARATH	reviewed	86	
Q9ZPY8	AIB_ARATH	reviewed	566	DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; transcription regulatory region DNA binding [GO:0044212]
Q8RYD6	AI5L1_ARATH	reviewed	331	activating transcription factor binding [GO:0033613]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region DNA binding [GO:0044212]
O04291	ATB14_ARATH	reviewed	852	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lipid binding [GO:0008289]
